dataset,hidden_dim,learning_rate,dropout,num_epochs,num_layers,aucroc,loss
CollegeMsg,64,0.0001,0.2,500,2,0.6785714285714286,17887.436848958332
CollegeMsg,64,0.0001,0.2,750,2,0.6785714285714286,25497.72265625
CollegeMsg,64,0.0001,0.2,1000,2,0.6282051282051282,20057.927734375
CollegeMsg,64,0.001,0.2,500,2,0.5757575757575758,11327.908528645834
CollegeMsg,64,0.001,0.2,750,2,0.5757575757575758,10853.945963541666
CollegeMsg,64,0.001,0.2,1000,2,0.6149425287356322,2450.1255696614585
CollegeMsg,64,0.0001,0.35,500,2,0.6785714285714286,17628.453450520832
CollegeMsg,64,0.0001,0.35,750,2,0.6785714285714286,25000.944010416668
CollegeMsg,64,0.0001,0.35,1000,2,0.7016129032258064,5149.163248697917
CollegeMsg,64,0.001,0.35,500,2,0.5757575757575758,10951.076497395834
CollegeMsg,64,0.001,0.35,750,2,0.6609848484848485,7805.948079427083
CollegeMsg,64,0.001,0.35,1000,2,0.41071428571428575,8862.908854166666
CollegeMsg,64,0.0001,0.5,500,2,0.6785714285714286,16697.413736979168
CollegeMsg,64,0.0001,0.5,750,2,0.6149425287356322,4369.8407796223955
CollegeMsg,64,0.0001,0.5,1000,2,0.6149425287356322,3883.6695149739585
CollegeMsg,64,0.001,0.5,500,2,0.6149425287356322,5048.399983723958
CollegeMsg,64,0.001,0.5,750,2,0.6282051282051282,7159.013671875
CollegeMsg,64,0.001,0.5,1000,2,0.6282051282051282,2219.061482747396
CollegeMsg,128,0.0001,0.2,500,2,0.7155172413793104,25199.932942708332
CollegeMsg,128,0.0001,0.2,750,2,0.7016129032258064,32713.755859375
CollegeMsg,128,0.0001,0.2,1000,2,0.65,5880.296875
CollegeMsg,128,0.001,0.2,500,2,0.5757575757575758,11752.181966145834
CollegeMsg,128,0.001,0.2,750,2,0.5757575757575758,11347.185221354166
CollegeMsg,128,0.001,0.2,1000,2,0.4666666666666667,8963.939778645834
CollegeMsg,128,0.0001,0.35,500,2,0.6785714285714286,25046.76171875
CollegeMsg,128,0.0001,0.35,750,2,0.7029914529914529,17904.74609375
CollegeMsg,128,0.0001,0.35,1000,2,0.7016129032258064,4021.0337727864585
CollegeMsg,128,0.001,0.35,500,2,0.6086956521739131,4996.12744140625
