Epoch 400 | Edge Type: o-o-nobank | Train Loss: 3.9017 | Train AUCROC 0.9305
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 3.7662 | Train AUCROC 0.9328

Epoch 100 | Edge Type: o-n | Train Loss: 1.3787 | Train AUCROC 0.9437
Epoch 200 | Edge Type: o-n | Train Loss: 1.0790 | Train AUCROC 0.9696
Epoch 300 | Edge Type: o-n | Train Loss: 0.9366 | Train AUCROC 0.9767
Epoch 400 | Edge Type: o-n | Train Loss: 0.9090 | Train AUCROC 0.9772
Epoch 500 | Edge Type: o-n | Train Loss: 0.8123 | Train AUCROC 0.9829

Epoch 100 | Edge Type: n-n | Train Loss: 1.4186 | Train AUCROC 0.7967
Epoch 200 | Edge Type: n-n | Train Loss: 1.4130 | Train AUCROC 0.8063
Epoch 300 | Edge Type: n-n | Train Loss: 1.3999 | Train AUCROC 0.8050
Epoch 400 | Edge Type: n-n | Train Loss: 1.3982 | Train AUCROC 0.8090
Epoch 500 | Edge Type: n-n | Train Loss: 1.4092 | Train AUCROC 0.8085

Epoch 100 | Edge Type: o-o-bank | Train Loss: 1.7835 | Train AUCROC 0.9876
Epoch 200 | Edge Type: o-o-bank | Train Loss: 1.4138 | Train AUCROC 0.9913
Epoch 300 | Edge Type: o-o-bank | Train Loss: 2.0759 | Train AUCROC 0.9939
Epoch 400 | Edge Type: o-o-bank | Train Loss: 0.8346 | Train AUCROC 0.9949
Epoch 500 | Edge Type: o-o-bank | Train Loss: 0.8768 | Train AUCROC 0.9944

Epoch 100 | Edge Type: o-o-nobank | Train Loss: 7.9899 | Train AUCROC 0.8855
Epoch 200 | Edge Type: o-o-nobank | Train Loss: 7.5396 | Train AUCROC 0.8985
Epoch 300 | Edge Type: o-o-nobank | Train Loss: 7.3240 | Train AUCROC 0.9037
Epoch 400 | Edge Type: o-o-nobank | Train Loss: 7.2730 | Train AUCROC 0.9048
Epoch 500 | Edge Type: o-o-nobank | Train Loss: 6.9199 | Train AUCROC 0.9146

Epoch 100 | Edge Type: o-n | Train Loss: 1.2415 | Train AUCROC 0.9689
Epoch 200 | Edge Type: o-n | Train Loss: 0.9751 | Train AUCROC 0.9833
Epoch 300 | Edge Type: o-n | Train Loss: 0.7676 | Train AUCROC 0.9916
Epoch 400 | Edge Type: o-n | Train Loss: 0.6557 | Train AUCROC 0.9927
Epoch 500 | Edge Type: o-n | Train Loss: 0.5849 | Train AUCROC 0.9930

Epoch 100 | Edge Type: n-n | Train Loss: 1.3841 | Train AUCROC 0.8040
Epoch 200 | Edge Type: n-n | Train Loss: 1.3700 | Train AUCROC 0.8170
Epoch 300 | Edge Type: n-n | Train Loss: 1.3569 | Train AUCROC 0.8214
Epoch 400 | Edge Type: n-n | Train Loss: 1.3417 | Train AUCROC 0.8287
Epoch 500 | Edge Type: n-n | Train Loss: 1.3372 | Train AUCROC 0.8321

Epoch 100 | Edge Type: o-o-bank | Train Loss: 2.3001 | Train AUCROC 0.9932
Epoch 200 | Edge Type: o-o-bank | Train Loss: 1.2072 | Train AUCROC 0.9978
