Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
25,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
26,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
27,0.0,0.0,0,0,20,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,20,0,0.0,0.0,0,0,2,0,0.0016835016835016834,0,0.0,0.0,2,0.001037344398340249,0.0006734006734006734,5,0.0016835016835016834,0.0016835016835016834
28,0.0,0.0,0,0,56,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,56,0,0.0,0.0,0,0,12,0,0.0022624434389140274,1,0.0005608524957936063,1.0,4,0.0022818026240730175,0.0011315417256011315,8,0.0022624434389140274,0.0022624434389140274
29,0.0,0.0,0,0,42,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,42,0,0.0,0.0,0,0,2,0,0.0018572565667285751,2,0.0008703220191470844,1.0,2,0.0013596193065941536,0.0005309264666843643,7,0.0018572565667285751,0.0018572565667285751
30,0.0,0.0,0,0,42,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,42,0,0.0,0.0,0,0,0,0,0.0017676767676767678,2,0.0007662835249042146,1.0,1,0.0007407407407407407,0.00025265285497726126,7,0.0017676767676767678,0.0017676767676767678
31,0.0,0.0,0,0,42,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,42,0,0.0,0.0,0,0,0,0,0.0016714422158548234,2,0.0006939625260235947,1.0,1,0.0007656967840735069,0.00023889154323936931,7,0.0016714422158548234,0.0016714422158548234
32,0.0,0.0,0,0,42,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,42,0,0.0,0.0,0,0,0,0,0.0015709156193895871,2,0.0006381620931716656,1.0,1,0.0007564296520423601,0.000224517287831163,7,0.0015709156193895871,0.0015709156193895871
33,0.0,0.0,0,0,30,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,30,0,0.0,0.0,0,0,0,0,0.0018253726802555522,1,0.00041476565740356696,0.5,1,0.001141552511415525,0.00030441400304414006,6,0.0018253726802555522,0.0018253726802555522
34,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0004079967360261118,1,0.0005494505494505495,1.0,0,0.0,0.0,1,0.0004079967360261118,0.0004079967360261118
35,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
36,0.0,0.0,0,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,0,0,0.0010828370330265296,0,0.0,0.0,1,0.002544529262086514,0.0005414185165132648,2,0.0010828370330265296,0.0010828370330265296
37,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0005817335660267597,0,0.0,0.0,0,0.0,0.0,1,0.0005817335660267597,0.0005817335660267597
38,0.0,0.0,0,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,0,0,0.0012143290831815423,0,0.0,0.0,0,0.0,0.0,2,0.0012143290831815423,0.0012143290831815423
39,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
40,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0007501875468867217,0,0.0,0.0,1,0.0035842293906810036,0.0007501875468867217,1,0.0007501875468867217,0.0007501875468867217
41,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0008665511265164644,0,0.0,0.0,0,0.0,0.0,1,0.0008665511265164644,0.0008665511265164644
42,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
43,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0010183299389002036,1,0.0012836970474967907,1.0,0,0.0,0.0,1,0.0010183299389002036,0.0010183299389002036
44,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
