dataset,decay_factor,alpha,beta,mean_precision,std_precision,mode_precision,min_precision,max_precision,mean_recall,std_recall,mode_recall,min_recall,max_recall,mean_f1,std_f1,mode_f1,min_f1,max_f1
networkcoindash,0,0,0.1,0.06499260474130762,0.0531951148136862,0.0,0.0,0.28125,0.01906548638851213,0.019730462550916265,0.0,0.0,0.11538461538461539,0.028823499985278864,0.027879069699573385,0.0,0.0,0.14634146341463417
networkcoindash,0,0,0.25,0.07592427761688274,0.06489101072999805,0.0,0.0,0.3333333333333333,0.021953749005752695,0.022918757608138066,0.0,0.0,0.1346153846153846,0.03328325329109451,0.032806812353838415,0.0,0.0,0.19178082191780818
networkcoindash,0,0,0.5,0.08662402219573101,0.06315967688559831,0.0,0.0,0.3333333333333333,0.025610658510082967,0.02434284385116103,0.0,0.0,0.17204301075268819,0.038659079505626276,0.034011755500846286,0.0,0.0,0.22535211267605634
networkcoindash,0,0,0.75,0.09212953178125347,0.0621846638547544,0.0,0.0,0.3469387755102041,0.02662121132683008,0.023742621561045636,0.0,0.0,0.1827956989247312,0.04048342321426441,0.03342178199980196,0.0,0.0,0.23943661971830985
networkcoindash,0,0,1.0,0.1085668671402257,0.0683160951778256,0.0,0.0,0.3469387755102041,0.03154891413931691,0.027409911086899615,0.0,0.0,0.1827956989247312,0.0477702123013135,0.038045057090841036,0.0,0.0,0.23943661971830985
networkcoindash,0,0,2.0,0.20293206246371515,0.10124943414719909,0.14285714285714285,0.0,0.53125,0.05793476123436916,0.041986355465261964,0.018018018018018018,0.0,0.22580645161290322,0.08825713519513663,0.05836002717503674,0.047619047619047616,0.0,0.29577464788732394
networkcoindash,0,0,3.0,0.2939375025257534,0.11776804292867044,0.4,0.0,0.6666666666666666,0.08312407472417516,0.052010933498356296,0.045454545454545456,0.0,0.2571428571428571,0.12698252321075926,0.07168998846432055,0.08888888888888889,0.0,0.36363636363636365
networkcoindash,0,0,5.0,0.361686476651107,0.1291505037151158,0.5,0.0,0.8125,0.10142545348314794,0.057581229465748056,0.05263157894736842,0.0,0.3076923076923077,0.15524097877847096,0.07926845280619381,0.1111111111111111,0.0,0.4126984126984127
networkcoindash,0,0.1,0,0.06543544694525256,0.05463492423397568,0.0,0.0,0.34782608695652173,0.018959040429272135,0.019918713797701982,0.0,0.0,0.14545454545454545,0.02872158380167253,0.028339144228597585,0.0,0.0,0.20512820512820512
networkcoindash,0,0.1,0.1,0.07271441193766906,0.057715682569392,0.0,0.0,0.3333333333333333,0.020871637491225642,0.021427814558180536,0.0,0.0,0.15053763440860216,0.03171856404117124,0.0303937179608377,0.0,0.0,0.1971830985915493
