dataset,decay_factor,alpha,beta,mean_precision,std_precision,mode_precision,min_precision,max_precision,mean_recall,std_recall,mode_recall,min_recall,max_recall,mean_f1,std_f1,mode_f1,min_f1,max_f1
networkcindicator,0,0,0.1,0.04787129213715432,0.051886670996130715,0.0,0.0,0.5,0.01043653226159542,0.011705461562886326,0.0,0.0,0.08823529411764706,0.016638038579366344,0.017272271407962666,0.0,0.0,0.11904761904761904
networkcindicator,0,0,0.25,0.05260687732758003,0.043789459776020265,0.0,0.0,0.25,0.012191798372386181,0.012928456530827017,0.0,0.0,0.08333333333333333,0.01936428182143756,0.019058995794261544,0.0,0.0,0.125
networkcindicator,0,0,0.5,0.061031594703395434,0.07951529558446704,0.0,0.0,1.0,0.01327294904284049,0.014501259244861417,0.0,0.0,0.1,0.021236267796815703,0.02238610263408798,0.0,0.0,0.18181818181818182
networkcindicator,0,0,0.75,0.056256281775337355,0.05118680616341211,0.0,0.0,0.3333333333333333,0.012781317854370351,0.01389943095568085,0.0,0.0,0.125,0.020367552479278166,0.02083670403010461,0.0,0.0,0.18181818181818182
networkcindicator,0,0,1.0,0.0675143235516513,0.05177234052899311,0.0,0.0,0.2777777777777778,0.015191469544389824,0.013667937606502931,0.0,0.0,0.09271523178807947,0.02431275511087717,0.02050218408734224,0.0,0.0,0.1275626423690205
networkcindicator,0,0,2.0,0.11597279252741304,0.0834663663931523,0.0,0.0,0.5,0.026611794427631025,0.025188460983396343,0.0,0.0,0.25,0.0424763776875478,0.036853955310891556,0.0,0.0,0.3333333333333333
networkcindicator,0,0,3.0,0.16967324411626403,0.09956635119236962,0.0,0.0,0.41509433962264153,0.03783898954809988,0.025304506457762454,0.0,0.0,0.13245033112582782,0.06104702556376771,0.03925198476223073,0.0,0.0,0.18223234624145784
networkcindicator,0,0,5.0,0.21266988070133114,0.12446031037735204,0.0,0.0,0.5454545454545454,0.046797498187480184,0.03025873129969886,0.0,0.0,0.1357615894039735,0.07565323814256253,0.04748315192548236,0.0,0.0,0.18840579710144928
networkcindicator,0,0.1,0,0.044823380097866364,0.04569113183254434,0.0,0.0,0.3333333333333333,0.010184783233494933,0.01171221175588422,0.0,0.0,0.07655502392344497,0.01619495480081547,0.017536183503686326,0.0,0.0,0.10491803278688525
networkcindicator,0,0.1,0.1,0.0536560987736587,0.05568604019632273,0.0,0.0,0.5,0.012122743475807473,0.013979781077260717,0.0,0.0,0.125,0.019358722044214433,0.021483996075091705,0.0,0.0,0.2
networkcindicator,0,0.1,0.25,0.051708276965239046,0.06093644705197631,0.0,0.0,0.5,0.012748192750171448,0.024832383376413164,0.0,0.0,0.25,0.019788484557701817,0.03372219664479591,0.0,0.0,0.3333333333333333
networkcindicator,0,0.1,0.5,0.06201002165057897,0.0799135494965538,0.0,0.0,1.0,0.013664866106030528,0.014525501182271328,0.0,0.0,0.1,0.021881874858995475,0.02267567396924385,0.0,0.0,0.18181818181818182
