dataset,decay_factor,alpha,beta,mean_precision,std_precision,mode_precision,min_precision,max_precision,mean_recall,std_recall,mode_recall,min_recall,max_recall,mean_f1,std_f1,mode_f1,min_f1,max_f1
networkaeternity,0,0,0.1,0.07228773793674778,0.053666875557713684,0.0,0.0,0.5041666666666667,0.020884885606688646,0.015512069588749238,0.0,0.0,0.1000827129859388,0.03201327592344486,0.023177539958336383,0.0,0.0,0.16701173222912355
networkaeternity,0,0,0.25,0.07743047845929793,0.05108071969251631,0.0,0.0,0.4666666666666667,0.022823895712497357,0.015700563995079003,0.0,0.0,0.09263854425144748,0.03486385690518165,0.023308689781035934,0.0,0.0,0.15458937198067632
networkaeternity,0,0,0.5,0.08745406372552371,0.05484871175983206,0.0,0.0,0.5041666666666667,0.025480447160766386,0.017503329780208583,0.0,0.0,0.1048951048951049,0.03897505934693128,0.02562112891576153,0.0,0.0,0.16701173222912355
networkaeternity,0,0,0.75,0.09967315170635085,0.05734416880739823,0.0,0.0,0.5166666666666667,0.029384793400781112,0.019313411287312093,0.0,0.0,0.11475409836065574,0.04482931062681222,0.027970882046948645,0.0,0.0,0.17115251897860595
networkaeternity,0,0,1.0,0.10945887224206215,0.062053472369853487,0.0,0.0,0.49583333333333335,0.032269513053007265,0.021143705783302522,0.0,0.0,0.10759493670886076,0.04923668481857899,0.030592872914485564,0.0,0.0,0.16425120772946858
networkaeternity,0,0,2.0,0.19001502529453995,0.08029150762528546,0.10526315789473684,0.0,0.4875,0.056120040947922355,0.03188145964606493,0.0,0.0,0.16083916083916083,0.08561033477506057,0.04499322737953516,0.0,0.0,0.2222222222222222
networkaeternity,0,0,3.0,0.26226418579597205,0.09540584411379165,0.14285714285714285,0.034482758620689655,0.5041666666666667,0.07664405880443494,0.039229774840603554,0.025,0.005988023952095809,0.1830065359477124,0.11717679962466652,0.05509725815377206,0.04615384615384616,0.010204081632653062,0.25925925925925924
networkaeternity,0,0,5.0,0.3127892073728528,0.10778345190737,0.3333333333333333,0.075,0.5441176470588235,0.09142322548875813,0.045199898595973724,0.03333333333333333,0.013333333333333334,0.23776223776223776,0.13982356439865393,0.06332006303858748,0.06837606837606838,0.023952095808383235,0.3285024154589372
networkaeternity,0,0.1,0,0.07163859433257458,0.05028194092103358,0.0,0.0,0.4875,0.02086432075264217,0.015041619315539267,0.0,0.0,0.0967741935483871,0.031932257921288794,0.02243706901670613,0.0,0.0,0.16149068322981366
networkaeternity,0,0.1,0.1,0.07635925805632865,0.052830304264592745,0.0,0.0,0.5208333333333334,0.022285273219620306,0.01614829940656573,0.0,0.0,0.10339123242349049,0.03406212361227871,0.023848686004036238,0.0,0.0,0.17253278122843344
networkaeternity,0,0.1,0.25,0.08281203785354707,0.052679327198370735,0.0,0.0,0.49166666666666664,0.02413022158781165,0.016598185175636812,0.0,0.0,0.09760132340777503,0.036897412483860595,0.024348235852520057,0.0,0.0,0.16287094547964115
networkaeternity,0,0.1,0.5,0.088962639842606,0.05276837867700307,0.0,0.0,0.4791666666666667,0.026019927041694497,0.01687722304836901,0.0,0.0,0.09511993382961124,0.039784653237588216,0.024648448907050882,0.0,0.0,0.15873015873015875
networkaeternity,0,0.1,0.75,0.10486137707379367,0.05869047419671383,0.0,0.0,0.4708333333333333,0.030902522731591015,0.020270656982039115,0.0,0.0,0.1092896174863388,0.04714769793888224,0.029269329264654576,0.0,0.0,0.15596963423050378
networkaeternity,0,0.1,1.0,0.1156808025333854,0.06971313243319562,0.0,0.0,0.5166666666666667,0.03439509416282163,0.024291214353578457,0.0,0.0,0.13286713286713286,0.052385709467870516,0.03512014527122853,0.0,0.0,0.18357487922705315
networkaeternity,0,0.1,2.0,0.1979346641023093,0.08103152342839837,0.125,0.0,0.5166666666666667,0.05779247921593908,0.030999208904938205,0.043478260869565216,0.0,0.17123287671232876,0.08836970677659144,0.043960554955301594,0.06451612903225806,0.0,0.24390243902439024
networkaeternity,0,0.1,3.0,0.2634709329692097,0.09295353785691614,0.125,0.05,0.49166666666666664,0.07706675032108046,0.038639694981743335,0.016666666666666666,0.009259259259259259,0.20279720279720279,0.11783981514758853,0.05423786515869414,0.061538461538461535,0.016260162601626015,0.2801932367149758
networkaeternity,0,0.1,5.0,0.3126300574685186,0.10487242446220701,0.25,0.0625,0.5441176470588235,0.0913161631320358,0.045117701696752034,0.041666666666666664,0.014285714285714285,0.23776223776223776,0.13964072024066146,0.06300042894570441,0.06666666666666667,0.023999999999999997,0.3285024154589372
networkaeternity,0,0.25,0,0.07502831406418994,0.04938115353149056,0.0,0.0,0.4666666666666667,0.021700789252304693,0.014547819189702419,0.0,0.0,0.09263854425144748,0.03326943851118214,0.0217796077511603,0.0,0.0,0.15458937198067632
networkaeternity,0,0.25,0.1,0.08397213441912571,0.04971297430642482,0.0,0.0,0.5166666666666667,0.024177163465246763,0.015418905336909556,0.0,0.0,0.10256410256410256,0.037075588309604016,0.02266634850448937,0.0,0.0,0.17115251897860595
networkaeternity,0,0.25,0.25,0.0898342853049274,0.053704896018466154,0.0,0.0,0.4875,0.02591246663130892,0.01632752815139229,0.0,0.0,0.0967741935483871,0.039729420693296436,0.024159733800601497,0.0,0.0,0.16149068322981366
networkaeternity,0,0.25,0.5,0.09754644712975631,0.05560774338387985,0.0,0.0,0.49583333333333335,0.028760964414132655,0.018881490169035522,0.0,0.0,0.11888111888111888,0.043886516204239126,0.027287309197309595,0.0,0.0,0.1642512077294686
networkaeternity,0,0.25,0.75,0.11607148367775859,0.058042195295522604,0.0,0.0,0.5,0.03374238736166208,0.019441302313101087,0.0,0.0,0.1,0.0516449905864722,0.028123795183361576,0.0,0.0,0.16563146997929606
networkaeternity,0,0.25,1.0,0.12734781685372018,0.06624388417971382,0.0,0.0,0.5333333333333333,0.03765211207468458,0.0235171452348786,0.0,0.0,0.125,0.057428005677900795,0.033836575311857416,0.0,0.0,0.1766735679779158
networkaeternity,0,0.25,2.0,0.20829660441166134,0.08225707269168026,0.2222222222222222,0.0,0.525,0.061092850715086126,0.03287161759442192,0.008333333333333333,0.0,0.17204301075268819,0.09334536359849185,0.046444194825561703,0.08672086720867209,0.0,0.24242424242424246
networkaeternity,0,0.25,3.0,0.26487144842653415,0.09591058779954338,0.25,0.03571428571428571,0.525,0.07765172122939025,0.039941502288456894,0.025,0.00819672131147541,0.20279720279720279,0.11867030697683616,0.05612233100133083,0.04081632653061225,0.013333333333333332,0.2801932367149758
networkaeternity,0,0.25,5.0,0.3173479550261652,0.10504087512749581,0.25,0.075,0.5392156862745098,0.09243724276517847,0.04459786996096279,0.03333333333333333,0.013605442176870748,0.23776223776223776,0.1414589099009221,0.062370529975900604,0.07692307692307693,0.02339181286549707,0.3285024154589372
