dataset,decay_factor,alpha,beta,mean_precision,std_precision,mode_precision,min_precision,max_precision,mean_recall,std_recall,mode_recall,min_recall,max_recall,mean_f1,std_f1,mode_f1,min_f1,max_f1
networkdgd,0,0,0.1,0.09675867843388437,0.08815826150780467,0.0,0.0,0.5,0.03385932903528558,0.03333534374873275,0.0,0.0,0.18181818181818182,0.0493511941364011,0.04700373600478071,0.0,0.0,0.26086956521739135
networkdgd,0,0,0.25,0.09660968996446188,0.08959199828754534,0.0,0.0,0.5555555555555556,0.03403928898739488,0.03471829616406552,0.0,0.0,0.25,0.04947954101644994,0.04848601869898561,0.0,0.0,0.3333333333333333
networkdgd,0,0,0.5,0.11341172049804646,0.09625750216816656,0.0,0.0,0.5,0.039880306371493215,0.03842932007653963,0.0,0.0,0.21428571428571427,0.057987352529060954,0.05302496879788603,0.0,0.0,0.3
networkdgd,0,0,0.75,0.1257192140479833,0.09618783323425964,0.0,0.0,0.46153846153846156,0.04443278856733783,0.03930473344643538,0.0,0.0,0.21739130434782608,0.06453757005108716,0.054122027122437334,0.0,0.0,0.27027027027027023
networkdgd,0,0,1.0,0.15083557263193312,0.1038235490471852,0.0,0.0,0.6,0.052853698333325795,0.04287469612505831,0.0,0.0,0.30434782608695654,0.07690022618069868,0.05844900781047718,0.0,0.0,0.4
networkdgd,0,0,2.0,0.25561336151823555,0.11698795293489621,0.3333333333333333,0.0,0.75,0.08751882757605882,0.052976465059958976,0.0,0.0,0.4166666666666667,0.12794562404766427,0.06999732916777,0.0,0.0,0.45454545454545453
networkdgd,0,0,3.0,0.3487470404970194,0.12255141295198285,0.3333333333333333,0.0,1.0,0.11790073311865278,0.0576902719406498,0.14285714285714285,0.0,0.42857142857142855,0.17288845072576414,0.07472787371374186,0.18181818181818182,0.0,0.6
networkdgd,0,0,5.0,0.4210203878560364,0.13192314118356252,0.5,0.0,1.0,0.14088023398376104,0.062105899888683994,0.1111111111111111,0.0,0.4166666666666667,0.20705012420412103,0.07994977916801853,0.26666666666666666,0.0,0.5
networkdgd,0,0.1,0,0.09163339599860282,0.08587230720256162,0.0,0.0,0.5,0.032562220239754754,0.03377382337281916,0.0,0.0,0.21052631578947367,0.04718868158678936,0.0467511733772587,0.0,0.0,0.28571428571428575
networkdgd,0,0.1,0.1,0.08865138930389915,0.083998306735113,0.0,0.0,0.46153846153846156,0.03166139817347742,0.03532325689944038,0.0,0.0,0.3,0.045862348096026115,0.048140473507946493,0.0,0.0,0.3636363636363637
networkdgd,0,0.1,0.25,0.10083631987513592,0.0919676632700315,0.0,0.0,0.5,0.036146843685822785,0.036671369908819695,0.0,0.0,0.21052631578947367,0.052323328520891485,0.05066664873243774,0.0,0.0,0.2580645161290323
networkdgd,0,0.1,0.5,0.11118120000528788,0.09225961018315824,0.0,0.0,0.5,0.03907277165837077,0.03805103834080423,0.0,0.0,0.3333333333333333,0.056786288027157045,0.05163448048249875,0.0,0.0,0.3636363636363636
networkdgd,0,0.1,0.75,0.12627514804909065,0.09817389790529349,0.0,0.0,0.5,0.04404486461149386,0.0389768760969167,0.0,0.0,0.2222222222222222,0.06423107192383973,0.054106474277659224,0.0,0.0,0.3
networkdgd,0,0.1,1.0,0.1490177573213827,0.10125403642782511,0.0,0.0,0.5,0.0516837762827889,0.040456634041866946,0.0,0.0,0.23529411764705882,0.0754031287932333,0.055831917657255335,0.0,0.0,0.29629629629629634
networkdgd,0,0.1,2.0,0.26216488172798047,0.11581592943329078,0.3333333333333333,0.0,0.75,0.08955367686279204,0.05224888443657515,0.0,0.0,0.4166666666666667,0.13093062776189676,0.06875431167692436,0.0,0.0,0.45454545454545453
networkdgd,0,0.1,3.0,0.3511300136086279,0.12528223587149084,0.5,0.0,0.75,0.11855174812321616,0.058431120630324865,0.1,0.0,0.5,0.17393467527159504,0.07601797624007357,0.2,0.0,0.5454545454545454
networkdgd,0,0.1,5.0,0.4174186019426841,0.13121720388154273,0.5,0.0,1.0,0.1402158148711382,0.06399035306642674,0.14285714285714285,0.0,0.6666666666666666,0.20584627016660278,0.08126217331361094,0.26666666666666666,0.0,0.7272727272727272
networkdgd,0,0.25,0,0.09489930785916673,0.08394965488860787,0.0,0.0,0.5,0.033512921869192705,0.03407879152715681,0.0,0.0,0.2857142857142857,0.04854549123365402,0.0462039301341195,0.0,0.0,0.30769230769230765
networkdgd,0,0.25,0.1,0.09603334146598483,0.08677945360716562,0.0,0.0,0.5,0.03419063172906554,0.03536256579066748,0.0,0.0,0.2631578947368421,0.04953767795548866,0.04856748988432899,0.0,0.0,0.3448275862068966
networkdgd,0,0.25,0.25,0.1038935310722499,0.0892774202683765,0.0,0.0,0.6666666666666666,0.03637518376256172,0.034705232555651576,0.0,0.0,0.2222222222222222,0.05293292999693876,0.048260660218623075,0.0,0.0,0.3333333333333333
networkdgd,0,0.25,0.5,0.1154070486575571,0.09326306492916907,0.0,0.0,0.625,0.04079387623716378,0.037711531828341575,0.0,0.0,0.2222222222222222,0.05917810250540072,0.0518180190772806,0.0,0.0,0.3
networkdgd,0,0.25,0.75,0.1455881767185749,0.1043329943941337,0.0,0.0,0.7,0.05130913422309968,0.042691972339381976,0.0,0.0,0.30434782608695654,0.07462709951210607,0.05889988810423719,0.0,0.0,0.42424242424242425
networkdgd,0,0.25,1.0,0.16450101277931792,0.10866335984519936,0.0,0.0,0.75,0.05648654380280807,0.042814563796514216,0.0,0.0,0.23076923076923078,0.08267061405057785,0.059187498735115966,0.0,0.0,0.3157894736842105
networkdgd,0,0.25,2.0,0.2760557387818792,0.11494142285579761,0.25,0.0,0.6666666666666666,0.09401114079180427,0.05226203553708125,0.0,0.0,0.4166666666666667,0.1375325658123985,0.068260769338376,0.0,0.0,0.45454545454545453
networkdgd,0,0.25,3.0,0.35720495771530536,0.1160119167676036,0.3333333333333333,0.0,0.7692307692307693,0.11995151631017438,0.05529272955361078,0.1111111111111111,0.0,0.4166666666666667,0.17612072204166046,0.07126291680624286,0.2222222222222222,0.0,0.4571428571428571
networkdgd,0,0.25,5.0,0.41861649685913244,0.1309514655381279,0.5,0.0,1.0,0.14042562046838294,0.06249486517154628,0.1111111111111111,0.0,0.5833333333333334,0.20630419186717072,0.07999568197687273,0.26666666666666666,0.0,0.6363636363636365
networkdgd,0,0.5,0,0.10962048249441203,0.0908735614960581,0.0,0.0,0.5,0.03820020214536606,0.03651747734543868,0.0,0.0,0.25,0.05563200875367348,0.050336659275025626,0.0,0.0,0.32558139534883723
networkdgd,0,0.5,0.1,0.10689273801853194,0.09050737249833365,0.0,0.0,0.5,0.03747317882442537,0.03622277942491305,0.0,0.0,0.25,0.05451558008600982,0.05015791028448987,0.0,0.0,0.3333333333333333
networkdgd,0,0.5,0.25,0.11878850592305754,0.09419193331297956,0.0,0.0,0.6,0.0419525669384368,0.03806137445951021,0.0,0.0,0.25,0.060849260557147504,0.0521446489924564,0.0,0.0,0.32432432432432434
networkdgd,0,0.5,0.5,0.14007884305951424,0.09495197218471178,0.0,0.0,0.5,0.04889970498271784,0.039059672323804535,0.0,0.0,0.25,0.07123142595055612,0.05372733940046565,0.0,0.0,0.3333333333333333
networkdgd,0,0.5,0.75,0.16196134982126645,0.10331201509365684,0.0,0.0,0.6,0.05637230613515979,0.04269562964642017,0.0,0.0,0.3333333333333333,0.08221357793808791,0.05825611055888351,0.0,0.0,0.4
networkdgd,0,0.5,1.0,0.18701693656799473,0.10452539105090186,0.0,0.0,0.5714285714285714,0.06408453196801134,0.04412186025895721,0.0,0.0,0.4166666666666667,0.09371101561430951,0.05917793827790626,0.0,0.0,0.45454545454545453
networkdgd,0,0.5,2.0,0.2956729220374632,0.11673747854779049,0.3333333333333333,0.0,1.0,0.10055740340444574,0.053418077601204456,0.0,0.0,0.42857142857142855,0.1472298305115735,0.07020061695993599,0.0,0.0,0.6
networkdgd,0,0.5,3.0,0.36447149833123604,0.12320197806937054,0.3333333333333333,0.0,1.0,0.12254058225712527,0.05769918451106001,0.16666666666666666,0.0,0.5833333333333334,0.17985915833662303,0.07415215515960516,0.2222222222222222,0.0,0.6363636363636365
networkdgd,0,0.5,5.0,0.4211169044621985,0.13033978948579544,0.5,0.0,1.0,0.14102513153776677,0.060962789234748856,0.1111111111111111,0.0,0.5,0.20726355389861853,0.07859019730173886,0.25,0.0,0.5454545454545454
networkdgd,0,0.75,0,0.11617602478994511,0.09016140425995345,0.0,0.0,0.5,0.04140605255637675,0.037986654615550376,0.0,0.0,0.2222222222222222,0.0599644658827198,0.05174915962190006,0.0,0.0,0.30769230769230765
networkdgd,0,0.75,0.1,0.12379063885635794,0.1013348943877394,0.0,0.0,1.0,0.04230169025492866,0.036873870409010856,0.0,0.0,0.2631578947368421,0.06182759612194172,0.0512044634385527,0.0,0.0,0.3389830508474576
networkdgd,0,0.75,0.25,0.13938697651827403,0.09908161977797386,0.0,0.0,0.75,0.047847696416294744,0.03924764668497204,0.0,0.0,0.2857142857142857,0.0699388603768716,0.05414432834397857,0.0,0.0,0.4
networkdgd,0,0.75,0.5,0.17195000866191676,0.10300256372303403,0.0,0.0,0.6,0.05924964541459004,0.041476348029222974,0.0,0.0,0.21739130434782608,0.0865672606774568,0.05695890269673398,0.0,0.0,0.3
networkdgd,0,0.75,0.75,0.1842791767042076,0.10630262160517383,0.0,0.0,0.6,0.06329295802099796,0.04520485666082273,0.0,0.0,0.36363636363636365,0.09244196523373403,0.06078505860723397,0.0,0.0,0.4444444444444444
networkdgd,0,0.75,1.0,0.2142305446790901,0.11049539361892494,0.25,0.0,0.7,0.07312766198319665,0.046515067328413796,0.0,0.0,0.3333333333333333,0.10695692228964096,0.06252706545184117,0.0,0.0,0.42424242424242425
networkdgd,0,0.75,2.0,0.3027662979313223,0.11161740679043186,0.3333333333333333,0.0,0.6666666666666666,0.10276616377699523,0.05284573991688542,0.1111111111111111,0.0,0.34782608695652173,0.15054287608707834,0.06896585120632782,0.16666666666666666,0.0,0.4324324324324324
networkdgd,0,0.75,3.0,0.3650404465709334,0.11668284378843116,0.3333333333333333,0.0,0.8,0.12287666944474038,0.056216294677919394,0.09090909090909091,0.0,0.5,0.18037226157994593,0.07212838233108507,0.16666666666666666,0.0,0.5454545454545454
