graph_num,l2_norm,cosine_similarity,g/s_pred_label,g/s_true_label,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
132,2282.326006511778,0.9751072402051362,1,1,146,447,146,447,146,447,146,447,146,447,146,447,146,447,20,828,20,828,0,-1513
133,2544.7644291761076,0.9696899016357539,1,1,80,565,80,565,80,565,80,565,80,565,80,565,80,565,15,1090,15,1090,0,-1349
134,2568.4985886700424,0.9736221339860887,1,1,73,529,73,529,73,529,73,529,73,529,73,529,73,529,13,1146,13,1146,0,-1405
135,2748.4208193069708,0.9697885669884324,0,0,91,602,91,602,91,602,91,602,91,602,91,602,91,602,23,1190,23,1190,0,-1458
136,2822.406065753119,0.9668819606883159,0,0,95,649,95,649,95,649,95,649,95,649,95,649,95,649,14,1183,14,1183,0,-1468
137,2863.9158507190814,0.9687350189463725,1,1,78,648,78,648,78,648,78,648,78,648,78,648,78,648,16,1201,16,1201,0,-1528
138,2187.6274819996206,0.9751335766508026,0,0,91,405,91,405,91,405,91,405,91,405,91,405,91,405,19,985,19,985,0,-1280
139,1281.4472287222757,0.9861515293886821,0,0,99,45,99,45,99,45,99,45,99,45,99,45,99,45,21,611,21,611,0,-901
140,1293.7070765826397,0.9872454548742403,1,1,93,67,93,67,93,67,93,67,93,67,93,67,93,67,18,618,18,618,0,-904
141,1280.1925636403298,0.9859152040379668,0,0,78,61,78,61,78,61,78,61,78,61,78,61,78,61,21,636,21,636,0,-872
142,1362.622104620353,0.9857825969119771,1,1,99,46,99,46,99,46,99,46,99,46,99,46,99,46,14,664,14,664,0,-944
143,1431.2871829231196,0.9849401993512161,1,1,98,72,98,72,98,72,98,72,98,72,98,72,98,72,14,705,14,705,0,-975
144,1416.4063682432384,0.982942340904992,0,0,83,67,83,67,83,67,83,67,83,67,83,67,83,67,16,708,16,708,0,-961
145,1367.4790674814733,0.9828171336410474,0,0,93,83,93,83,93,83,93,83,93,83,93,83,93,83,14,670,14,670,0,-929
146,1319.1864917440596,0.9809975811396127,0,0,72,113,72,113,72,113,72,113,72,113,72,113,72,113,13,660,13,660,0,-862
147,1239.5470947083859,0.97987387948751,0,0,62,123,62,123,62,123,62,123,62,123,62,123,62,123,11,628,11,628,0,-784
148,1159.4576318261913,0.9807761169766699,0,0,54,115,54,115,54,115,54,115,54,115,54,115,54,115,9,584,9,584,0,-741
149,1054.2129765849024,0.9789730268419756,0,0,63,128,63,128,63,128,63,128,63,128,63,128,63,128,10,515,10,515,0,-662
150,958.0861130399501,0.9801387788495214,0,0,53,119,53,119,53,119,53,119,53,119,53,119,53,119,7,464,7,464,0,-607
151,874.6827996479639,0.978972463955274,0,0,42,103,42,103,42,103,42,103,42,103,42,103,42,103,8,429,8,429,0,-557
152,879.5385153590489,0.9818168336744293,1,1,75,76,75,76,75,76,75,76,75,76,75,76,75,76,13,397,13,397,0,-615
153,917.3815999898843,0.9799845890336754,1,1,68,87,68,87,68,87,68,87,68,87,68,87,68,87,15,438,15,438,0,-610
154,978.8554540891112,0.9809062790890672,1,1,69,87,69,87,69,87,69,87,69,87,69,87,69,87,15,471,15,471,0,-654
155,998.4593131420028,0.9819096546662348,1,1,75,77,75,77,75,77,75,77,75,77,75,77,75,77,14,481,14,481,0,-673
156,1085.1774048513912,0.9815139069731309,1,1,92,109,92,109,92,109,92,109,92,109,92,109,92,109,18,503,18,503,0,-727
157,1083.1841948625358,0.9832973461523756,1,1,62,75,62,75,62,75,62,75,62,75,62,75,62,75,13,539,13,539,0,-725
158,1236.7186422141456,0.9827231064157612,1,1,81,84,81,84,81,84,81,84,81,84,81,84,81,84,10,595,10,595,0,-852
159,1208.8147087126297,0.9831539903139799,0,0,83,97,83,97,83,97,83,97,83,97,83,97,83,97,12,587,12,587,0,-811
160,1250.591060259108,0.9836000171406527,1,1,71,145,71,145,71,145,71,145,71,145,71,145,71,145,16,610,16,610,0,-798
161,1204.4525727483006,0.9847519952746271,1,0,74,148,74,148,74,148,74,148,74,148,74,148,74,148,12,577,12,577,0,-770
162,1229.343727360253,0.9836340252160689,1,1,74,153,74,153,74,153,74,153,74,153,74,153,74,153,8,599,8,599,0,-769
163,1258.3425606725698,0.9824985629541438,0,0,78,156,78,156,78,156,78,156,78,156,78,156,78,156,19,608,19,608,0,-794
164,1124.976444197833,0.9843928650970077,0,0,56,151,56,151,56,151,56,151,56,151,56,151,56,151,13,535,13,535,0,-715
165,986.5439675959709,0.985660606015712,0,0,56,126,56,126,56,126,56,126,56,126,56,126,56,126,16,456,16,456,0,-651
166,925.4782547418389,0.9853750448727743,0,0,47,133,47,133,47,133,47,133,47,133,47,133,47,133,13,421,13,421,0,-602
167,926.3482066696087,0.9839218629814404,0,0,53,148,53,148,53,148,53,148,53,148,53,148,53,148,11,406,11,406,0,-596
168,845.4070025733167,0.9842098111696294,0,0,51,129,51,129,51,129,51,129,51,129,51,129,51,129,14,367,14,367,0,-557
169,771.7149732900094,0.9839768040060155,0,0,42,118,42,118,42,118,42,118,42,118,42,118,42,118,16,340,16,340,0,-504
170,757.9709756976187,0.9832443334104429,0,0,42,110,42,110,42,110,42,110,42,110,42,110,42,110,18,318,18,318,0,-524
171,788.712241568495,0.9804957876331724,0,1,44,116,44,116,44,116,44,116,44,116,44,116,44,116,18,345,18,345,0,-525
172,808.1522133855725,0.9766878686341713,0,0,37,130,37,130,37,130,37,130,37,130,37,130,37,130,22,357,22,357,0,-519
173,838.6262576380494,0.9762306331793368,1,1,53,127,53,127,53,127,53,127,53,127,53,127,53,127,20,358,20,358,0,-560
174,800.7003184712743,0.9763841259856519,1,0,30,115,30,115,30,115,30,115,30,115,30,115,30,115,17,364,17,364,0,-526
175,809.189718174916,0.9731383529572448,0,0,36,102,36,102,36,102,36,102,36,102,36,102,36,102,15,379,15,379,0,-534
176,838.5594791068788,0.970251032932671,0,0,40,114,40,114,40,114,40,114,40,114,40,114,40,114,16,393,16,393,0,-540
177,733.2857560323943,0.9729606060171719,0,0,30,89,30,89,30,89,30,89,30,89,30,89,30,89,18,356,18,356,0,-471
178,685.008029150024,0.9747648742865366,0,0,32,83,32,83,32,83,32,83,32,83,32,83,32,83,11,331,11,331,0,-441
179,577.3361239347491,0.9793557963893577,1,0,24,49,24,49,24,49,24,49,24,49,24,49,24,49,10,283,10,283,0,-390
180,553.6406776962834,0.97821671823281,0,0,29,70,29,70,29,70,29,70,29,70,29,70,29,70,10,249,10,249,0,-377
181,557.5517913162867,0.9761701565317273,0,0,30,57,30,57,30,57,30,57,30,57,30,57,30,57,15,255,15,255,0,-389
182,493.39335220491165,0.9802105912414667,1,1,37,30,37,30,37,30,37,30,37,30,37,30,37,30,8,211,8,211,0,-372
183,489.6570228231185,0.9805361651272374,0,0,31,30,31,30,31,30,31,30,31,30,31,30,31,30,10,216,10,216,0,-365
184,502.00796806425296,0.9805578548108566,1,0,37,51,37,51,37,51,37,51,37,51,37,51,37,51,13,222,13,222,0,-354
185,467.562830002557,0.9823846207619195,0,0,24,27,24,27,24,27,24,27,24,27,24,27,24,27,11,221,11,221,0,-334
186,495.9455615286823,0.981414926648086,0,1,33,44,33,44,33,44,33,44,33,44,33,44,33,44,12,217,12,217,0,-361
187,501.81470683908816,0.9802974048713813,0,0,25,65,25,65,25,65,25,65,25,65,25,65,25,65,10,236,10,236,0,-326
188,483.4387241419537,0.97926070268752,0,0,15,71,15,71,15,71,15,71,15,71,15,71,15,71,15,230,15,230,0,-301
189,428.8636146842024,0.9825280114039543,0,0,27,70,27,70,27,70,27,70,27,70,27,70,27,70,14,188,14,188,0,-271
190,414.2390614126099,0.9811269307787852,0,0,21,71,21,71,21,71,21,71,21,71,21,71,21,71,16,176,16,176,0,-266
191,464.1885392811848,0.9750605347059067,1,1,21,99,21,99,21,99,21,99,21,99,21,99,21,99,12,190,12,190,0,-267
192,402.1243588742169,0.9778830645958951,0,0,15,73,15,73,15,73,15,73,15,73,15,73,15,73,6,175,6,175,0,-248
193,358.34620131933866,0.9765897806337671,0,0,7,70,7,70,7,70,7,70,7,70,7,70,7,70,6,162,6,162,0,-203
194,321.47006081437814,0.9787037386818261,0,0,10,59,10,59,10,59,10,59,10,59,10,59,10,59,7,141,7,141,0,-196
195,338.0192302221872,0.9776268342835236,1,1,18,55,18,55,18,55,18,55,18,55,18,55,18,55,6,147,6,147,0,-218
196,305.21140214611904,0.9787488608776744,1,0,12,34,12,34,12,34,12,34,12,34,12,34,12,34,4,147,4,147,0,-202
197,328.07773469103324,0.9736439520288082,0,0,13,50,13,50,13,50,13,50,13,50,13,50,13,50,7,155,7,155,0,-202
198,267.2208824175236,0.9780818463594915,0,0,11,31,11,31,11,31,11,31,11,31,11,31,11,31,4,134,4,134,0,-167
199,242.53041046433745,0.979907662056246,0,0,10,24,10,24,10,24,10,24,10,24,10,24,10,24,2,120,2,120,0,-159
200,256.865723676788,0.9781622749335076,1,1,15,23,15,23,15,23,15,23,15,23,15,23,15,23,5,126,5,126,0,-170
201,232.9313203500122,0.9803222418893508,0,0,13,25,13,25,13,25,13,25,13,25,13,25,13,25,4,111,4,111,0,-155
202,194.1082172397655,0.9827024460570168,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,5,92,5,92,0,-134
203,154.78695035434995,0.9873144616100278,0,0,10,1,10,1,10,1,10,1,10,1,10,1,10,1,5,73,5,73,0,-112
204,1106.4325555586297,0.942316729733165,1,1,18,304,18,304,18,304,18,304,18,304,18,304,18,304,9,419,9,419,0,-473
205,1078.7724505195708,0.9472550457750989,1,1,15,290,15,290,15,290,15,290,15,290,15,290,15,290,6,417,6,417,0,-475
206,1100.210888875401,0.9469605324852166,1,1,16,299,16,299,16,299,16,299,16,299,16,299,16,299,8,418,8,418,0,-483
207,1107.0600706375421,0.9457283204728125,0,0,15,299,15,299,15,299,15,299,15,299,15,299,15,299,11,423,11,423,0,-490
208,1117.9754022338775,0.9463437952761603,1,1,22,296,22,296,22,296,22,296,22,296,22,296,22,296,10,430,10,430,0,-513
209,1111.017101578549,0.9473838944852433,1,1,15,280,15,280,15,280,15,280,15,280,15,280,15,280,10,450,10,450,0,-528
210,1122.1755655867757,0.945306388032132,0,0,17,289,17,289,17,289,17,289,17,289,17,289,17,289,10,446,10,446,0,-524
211,601.0790297456733,0.9731678973117958,0,0,86,50,86,50,86,50,86,50,86,50,86,50,86,50,15,117,15,117,0,-514
212,814.7987481580958,0.956317104975806,1,1,19,170,19,170,19,170,19,170,19,170,19,170,19,170,11,358,11,358,0,-450
213,805.6866636602595,0.9602064132278082,1,1,22,170,22,170,22,170,22,170,22,170,22,170,22,170,10,341,10,341,0,-459
214,892.5166665110518,0.9555980116478922,1,1,20,201,20,201,20,201,20,201,20,201,20,201,20,201,13,380,13,380,0,-471
215,849.3797737172696,0.9596687666008922,1,0,19,187,19,187,19,187,19,187,19,187,19,187,19,187,5,361,5,361,0,-462
216,876.344110495415,0.9576954332941141,1,1,20,192,20,192,20,192,20,192,20,192,20,192,20,192,11,380,11,380,0,-467
217,851.33013572879,0.9594117698698776,1,0,17,185,17,185,17,185,17,185,17,185,17,185,17,185,9,369,9,369,0,-459
218,329.9348420521846,0.9780396920913593,0,0,13,33,13,33,13,33,13,33,13,33,13,33,13,33,8,157,8,157,0,-225
219,268.50884529191956,0.9793066550779409,0,0,13,23,13,23,13,23,13,23,13,23,13,23,13,23,8,131,8,131,0,-181
220,227.15633383201094,0.982495257486002,0,0,10,23,10,23,10,23,10,23,10,23,10,23,10,23,5,113,5,113,0,-147
221,244.82851141155925,0.9792647629801036,0,0,12,22,12,22,12,22,12,22,12,22,12,22,12,22,6,116,6,116,0,-169
222,272.9688626931651,0.9737661051608227,0,0,14,31,14,31,14,31,14,31,14,31,14,31,14,31,5,131,5,131,0,-179
223,219.65655009582574,0.9787090603927906,1,0,10,30,10,30,10,30,10,30,10,30,10,30,10,30,2,106,2,106,0,-137
224,217.90135382782734,0.9772474692100607,0,0,8,24,8,24,8,24,8,24,8,24,8,24,8,24,4,110,4,110,0,-137
225,223.95312009436262,0.9755767650955244,0,0,11,31,11,31,11,31,11,31,11,31,11,31,11,31,5,109,5,109,0,-137
226,206.83810093887442,0.9762474573780449,1,0,10,31,10,31,10,31,10,31,10,31,10,31,10,31,3,98,3,98,0,-127
227,226.96034895990093,0.9688736159798106,0,0,13,32,13,32,13,32,13,32,13,32,13,32,13,32,7,107,7,107,0,-142
228,167.69615380204758,0.9793313672899573,1,0,6,16,6,16,6,16,6,16,6,16,6,16,6,16,5,86,5,86,0,-106
229,142.23923509355637,0.9829480021274961,0,0,8,9,8,9,8,9,8,9,8,9,8,9,8,9,2,70,2,70,0,-97
230,131.38112497615478,0.9830769564716154,0,0,2,14,2,14,2,14,2,14,2,14,2,14,2,14,1,63,1,63,0,-89
231,135.42156401400774,0.9843059483351135,1,1,5,14,5,14,5,14,5,14,5,14,5,14,5,14,3,63,3,63,0,-94
232,155.74016822900893,0.9787697933759729,0,1,9,19,9,19,9,19,9,19,9,19,9,19,9,19,4,68,4,68,0,-109
233,149.65961379076188,0.9808624702361214,0,0,6,19,6,19,6,19,6,19,6,19,6,19,6,19,3,70,3,70,0,-99
234,150.15991475756772,0.979334384440493,1,1,7,11,7,11,7,11,7,11,7,11,7,11,7,11,1,74,1,74,0,-102
235,162.90794946840379,0.9775254923530609,1,1,9,14,9,14,9,14,9,14,9,14,9,14,9,14,3,79,3,79,0,-110
236,165.70757375569772,0.9751005706707315,0,0,5,16,5,16,5,16,5,16,5,16,5,16,5,16,5,83,5,83,0,-108
237,176.64087862100325,0.9721695186746084,1,1,4,13,4,13,4,13,4,13,4,13,4,13,4,13,3,90,3,90,0,-117
238,157.13370103195558,0.9818179885358488,1,1,10,11,10,11,10,11,10,11,10,11,10,11,10,11,5,77,5,77,0,-106
239,201.6209314530612,0.9720117205114526,0,1,7,12,7,12,7,12,7,12,7,12,7,12,7,12,7,99,7,99,0,-140
240,189.75510533316356,0.9772131891042081,1,1,6,4,6,4,6,4,6,4,6,4,6,4,6,4,3,100,3,100,0,-125
241,182.72657168567466,0.9718682104464933,0,0,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,102,1,102,0,-112
242,190.02368273454758,0.9674908582149682,0,0,11,6,11,6,11,6,11,6,11,6,11,6,11,6,4,99,4,99,0,-124
243,189.4887859478761,0.9677755539352246,0,0,12,15,12,15,12,15,12,15,12,15,12,15,12,15,4,99,4,99,0,-117
244,179.65800844938698,0.9697399532059978,1,0,7,12,7,12,7,12,7,12,7,12,7,12,7,12,2,97,2,97,0,-110
245,150.1399347275734,0.9719035724450567,0,0,6,12,6,12,6,12,6,12,6,12,6,12,6,12,3,80,3,80,0,-92
246,136.9634987870856,0.9702149880396855,0,0,4,18,4,18,4,18,4,18,4,18,4,18,4,18,3,70,3,70,0,-81
247,123.21120078953861,0.9741176352528618,0,0,6,16,6,16,6,16,6,16,6,16,6,16,6,16,2,60,2,60,0,-77
248,122.29881438509533,0.978418815969477,1,1,6,19,6,19,6,19,6,19,6,19,6,19,6,19,4,59,4,59,0,-72
249,90.28288874421332,0.986318587784587,0,0,5,11,5,11,5,11,5,11,5,11,5,11,5,11,2,44,2,44,0,-57
250,89.39798655450804,0.9847843471682941,0,0,3,10,3,10,3,10,3,10,3,10,3,10,3,10,1,47,1,47,0,-53
251,80.61637550770935,0.9871167939410777,1,1,3,6,3,6,3,6,3,6,3,6,3,6,3,6,2,44,2,44,0,-48
252,104.65658125507444,0.9801078132894465,0,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,5,50,5,50,0,-73
253,115.69788243524597,0.9812999552267947,1,1,10,4,10,4,10,4,10,4,10,4,10,4,10,4,3,54,3,54,0,-82
254,121.79080425056729,0.9825533622274791,1,1,7,10,7,10,7,10,7,10,7,10,7,10,7,10,3,62,3,62,0,-78
255,124.6755790040696,0.9818459133858325,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,65,2,65,0,-80
256,139.31618714277246,0.9832194666354502,1,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,2,69,2,69,0,-95
257,193.7653219748054,0.9801674083530071,1,1,21,12,21,12,21,12,21,12,21,12,21,12,21,12,9,86,9,86,0,-136
258,203.18710589011303,0.9814112364017711,1,1,10,4,10,4,10,4,10,4,10,4,10,4,10,4,6,104,6,104,0,-137
259,160.68914089010497,0.9897171602997479,1,1,12,11,12,11,12,11,12,11,12,11,12,11,12,11,3,74,3,74,0,-114
260,168.84608375677536,0.9889989920776172,1,1,6,-3,6,-3,6,-3,6,-3,6,-3,6,-3,6,-3,3,80,3,80,0,-124
261,222.36006835760776,0.9862557180055166,1,1,19,14,19,14,19,14,19,14,19,14,19,14,19,14,8,88,8,88,0,-173
262,339.53055827126957,0.9807336651358929,1,1,30,50,30,50,30,50,30,50,30,50,30,50,30,50,10,110,10,110,0,-259
263,487.3981944980921,0.9694508901674298,1,1,22,105,22,105,22,105,22,105,22,105,22,105,22,105,12,195,12,195,0,-284
264,510.5937719949197,0.9680147779346849,1,0,20,119,20,119,20,119,20,119,20,119,20,119,20,119,10,205,10,205,0,-273
265,499.31553150287647,0.970263845208031,1,1,17,117,17,117,17,117,17,117,17,117,17,117,17,117,9,198,9,198,0,-270
266,566.1271941887264,0.9698102475610363,1,1,23,131,23,131,23,131,23,131,23,131,23,131,23,131,11,206,11,206,0,-334
267,1431.0838549854443,0.9665223425463308,1,1,89,227,89,227,89,227,89,227,89,227,89,227,89,227,23,278,23,278,0,-1215
268,1986.9177134446206,0.9392388334664502,1,1,29,555,29,555,29,555,29,555,29,555,29,555,29,555,13,711,13,711,0,-880
