dataset,seed,hidden_dim_1,hidden_dim_2,mlp_dim,learning_rate,num_layers_LSTM,num_layers_GRU,trained_epochs,train_aucroc,valid_aucroc,train_loss,valid_loss
CollegeMsg,42,64,32,32,0.0001,0,3,3,121,0.9723551302498671,0.5823529411764706,0.2070524636656046,1.718993604183197
CollegeMsg,42,64,32,32,0.001,0,3,3,120,0.5808080808080809,0.5147058823529411,0.6592000164091587,0.7233339846134186
CollegeMsg,42,64,32,64,0.0001,0,3,3,130,0.986709197235513,0.5705882352941176,0.07147688209079206,2.0657659769058228
CollegeMsg,42,64,32,64,0.001,0,3,3,135,0.9053694843168527,0.6588235294117647,0.4140758030116558,0.6813558042049408
CollegeMsg,42,64,64,32,0.0001,0,3,3,116,0.9718234981392877,0.6823529411764706,0.1934983115643263,1.7073549628257751
CollegeMsg,42,64,64,32,0.001,0,3,3,117,0.7232854864433811,0.3823529411764706,0.5721481032669544,0.7744818031787872
CollegeMsg,42,64,64,64,0.0001,0,3,3,118,0.9952153110047847,0.7176470588235294,0.07790849497541785,1.8627280592918396
CollegeMsg,42,64,64,64,0.001,0,3,3,139,0.6158958001063264,0.38823529411764707,0.5871131494641304,0.7098175883293152
CollegeMsg,42,64,128,32,0.0001,0,3,3,116,0.9845826687931951,0.7411764705882353,0.14787007705308497,2.256148338317871
CollegeMsg,42,64,128,32,0.001,0,3,3,185,0.970494417862839,0.7352941176470589,0.266128234565258,0.8387977331876755
CollegeMsg,42,64,128,64,0.0001,0,3,3,168,0.997873471557682,0.6176470588235294,0.05328967794775963,2.408270984888077
CollegeMsg,42,64,128,64,0.001,0,3,3,117,0.962254120148857,0.8999999999999999,0.30510279536247253,0.472411572933197
CollegeMsg,42,64,256,32,0.0001,0,3,3,119,0.9960127591706539,0.6941176470588235,0.07131498865783215,2.627957344055176
CollegeMsg,42,64,256,32,0.001,0,3,3,123,0.7990430622009569,0.7,0.5504816044121981,0.7005177736282349
CollegeMsg,42,64,256,64,0.0001,0,3,3,118,0.9968102073365231,0.6441176470588235,0.08903521834872663,3.402539372444153
CollegeMsg,42,64,256,64,0.001,0,3,3,125,0.45454545454545453,0.3647058823529412,0.6942133978009224,0.7007715702056885
CollegeMsg,42,128,32,32,0.0001,0,3,3,120,0.8569909622541201,0.6705882352941177,0.2448437763378024,1.8471434116363525
CollegeMsg,42,128,32,32,0.001,0,3,3,116,0.7113237639553429,0.5176470588235295,0.5624817796051502,0.7084134221076965
CollegeMsg,42,128,32,64,0.0001,0,3,3,130,0.985645933014354,0.7529411764705882,0.08127460000105202,1.5950034260749817
CollegeMsg,42,128,32,64,0.001,0,3,3,152,0.8290802764486975,0.776470588235294,0.4873145632445812,0.5941962599754333
CollegeMsg,42,128,64,32,0.0001,0,3,3,120,0.9853801169590642,0.6764705882352942,0.11717281071469188,0.9997888505458832
CollegeMsg,42,128,64,32,0.001,0,3,3,176,0.4516214779372674,0.37058823529411766,0.6986132562160492,0.7160613238811493
CollegeMsg,42,128,64,64,0.0001,0,3,3,118,0.9909622541201488,0.6294117647058823,0.06683355034328997,1.7258703112602234
CollegeMsg,42,128,64,64,0.001,0,3,3,131,0.5696438064859117,0.7235294117647059,0.66265769302845,0.7097548544406891
CollegeMsg,42,128,128,32,0.0001,0,3,3,117,0.9965443912812333,0.538235294117647,0.045656099857296795,2.973491072654724
CollegeMsg,42,128,128,32,0.001,0,3,3,141,0.7442849548112707,0.6294117647058823,0.5516061671078205,0.709893673658371
CollegeMsg,42,128,128,64,0.0001,0,3,3,117,0.997873471557682,0.5411764705882353,0.038936721393838525,2.685809016227722
CollegeMsg,42,128,128,64,0.001,0,3,3,125,0.7065390749601276,0.723529411764706,0.5545480400323868,0.7011020183563232
CollegeMsg,42,128,256,32,0.0001,0,3,3,139,1.0,0.6352941176470588,0.021921359468251467,2.719199776649475
CollegeMsg,42,128,256,32,0.001,0,3,3,117,0.5055821371610845,0.37058823529411766,0.62186224386096,0.7152386903762817
CollegeMsg,42,128,256,64,0.0001,0,3,3,136,1.0,0.5588235294117647,0.03927117260172963,2.071284592151642
CollegeMsg,42,128,256,64,0.001,0,3,3,136,0.6408825093035619,0.7588235294117648,0.6083172969520092,0.6868613660335541
CollegeMsg,42,256,32,32,0.0001,0,3,3,126,0.986709197235513,0.6705882352941177,0.17160853929817677,0.8503062725067139
CollegeMsg,42,256,32,32,0.001,0,3,3,149,0.8245614035087719,0.9470588235294117,0.5347205251455307,0.5945529043674469
CollegeMsg,42,256,32,64,0.0001,0,3,3,128,0.9872408293460925,0.8058823529411765,0.06212881626561284,1.2568977773189545
CollegeMsg,42,256,32,64,0.001,0,3,3,127,0.569377990430622,0.6058823529411764,0.6142868101596832,0.7148531973361969
CollegeMsg,42,256,64,32,0.0001,0,3,3,122,0.9861775651249335,0.6411764705882352,0.05471991223748773,1.7039443254470825
CollegeMsg,42,256,64,32,0.001,0,3,3,163,0.6111111111111112,0.411764705882353,0.6259506195783615,0.7189936935901642
CollegeMsg,42,256,64,64,0.0001,0,3,3,125,0.9962785752259435,0.8058823529411765,0.0518312375061214,1.4293099641799927
CollegeMsg,42,256,64,64,0.001,0,3,3,130,0.637692716640085,0.6588235294117647,0.6283569522202015,0.7245010733604431
