Epoch: 01 | Edge Type: o-o-nobank | Train Loss: 0.5936 | Train AUCROC: 0.8097 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-n | Train Loss: 0.6786 | Train AUCROC: 0.6155 | GPU: 0.0MiB
Epoch: 01 | Edge Type: n-n | Train Loss: 0.6965 | Train AUCROC: 0.5577 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-o-nobank | Train Loss: 0.1783 | Train AUCROC: 0.9840 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-n | Train Loss: 0.2663 | Train AUCROC: 0.9457 | GPU: 0.0MiB
Epoch: 10 | Edge Type: n-n | Train Loss: 0.0053 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-bank | Train Loss: 0.6214 | Train AUCROC: 0.7116 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-nobank | Train Loss: 0.9100 | Train AUCROC: 0.8887 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-n | Train Loss: 0.5603 | Train AUCROC: 0.7794 | GPU: 0.0MiB
Epoch: 02 | Edge Type: n-n | Train Loss: 0.4841 | Train AUCROC: 0.8657 | GPU: 0.0MiB
Epoch: 11 | Edge Type: o-o-nobank | Train Loss: 0.1361 | Train AUCROC: 0.9906 | GPU: 0.0MiB
Epoch: 11 | Edge Type: o-n | Train Loss: 0.2056 | Train AUCROC: 0.9599 | GPU: 0.0MiB
Epoch: 11 | Edge Type: n-n | Train Loss: 0.0035 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 12 | Edge Type: o-o-nobank | Train Loss: 0.1260 | Train AUCROC: 0.9912 | GPU: 0.0MiB
Epoch: 12 | Edge Type: o-n | Train Loss: 0.2324 | Train AUCROC: 0.9507 | GPU: 0.0MiB
Epoch: 12 | Edge Type: n-n | Train Loss: 0.0007 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-bank | Train Loss: 0.5847 | Train AUCROC: 0.7500 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-nobank | Train Loss: 0.7321 | Train AUCROC: 0.9066 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-n | Train Loss: 0.4265 | Train AUCROC: 0.8650 | GPU: 0.0MiB
Epoch: 03 | Edge Type: n-n | Train Loss: 0.1817 | Train AUCROC: 0.9862 | GPU: 0.0MiB
Epoch: 13 | Edge Type: o-o-nobank | Train Loss: 0.1075 | Train AUCROC: 0.9926 | GPU: 0.0MiB
Epoch: 13 | Edge Type: o-n | Train Loss: 0.2095 | Train AUCROC: 0.9549 | GPU: 0.0MiB
Epoch: 13 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-bank | Train Loss: 0.5550 | Train AUCROC: 0.7849 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-nobank | Train Loss: 0.2892 | Train AUCROC: 0.9322 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-n | Train Loss: 0.3459 | Train AUCROC: 0.9079 | GPU: 0.0MiB
Epoch: 04 | Edge Type: n-n | Train Loss: 0.0575 | Train AUCROC: 0.9980 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-o-nobank | Train Loss: 0.0937 | Train AUCROC: 0.9952 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-n | Train Loss: 0.2084 | Train AUCROC: 0.9613 | GPU: 0.0MiB
Epoch: 14 | Edge Type: n-n | Train Loss: 0.0001 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-bank | Train Loss: 0.5287 | Train AUCROC: 0.8061 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-nobank | Train Loss: 0.2900 | Train AUCROC: 0.9431 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-n | Train Loss: 0.3277 | Train AUCROC: 0.9196 | GPU: 0.0MiB
Epoch: 05 | Edge Type: n-n | Train Loss: 0.0147 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-o-nobank | Train Loss: 0.0785 | Train AUCROC: 0.9962 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-n | Train Loss: 0.1957 | Train AUCROC: 0.9606 | GPU: 0.0MiB
Epoch: 15 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 16 | Edge Type: o-o-nobank | Train Loss: 0.0682 | Train AUCROC: 0.9978 | GPU: 0.0MiB
Epoch: 16 | Edge Type: o-n | Train Loss: 0.1885 | Train AUCROC: 0.9591 | GPU: 0.0MiB
Epoch: 16 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-bank | Train Loss: 0.5082 | Train AUCROC: 0.8242 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-nobank | Train Loss: 0.2700 | Train AUCROC: 0.9472 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-n | Train Loss: 0.2851 | Train AUCROC: 0.9351 | GPU: 0.0MiB
Epoch: 06 | Edge Type: n-n | Train Loss: 0.0090 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-o-nobank | Train Loss: 0.0595 | Train AUCROC: 0.9981 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-n | Train Loss: 0.1612 | Train AUCROC: 0.9693 | GPU: 0.0MiB
Epoch: 17 | Edge Type: n-n | Train Loss: 0.0000 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-bank | Train Loss: 0.4853 | Train AUCROC: 0.8401 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-nobank | Train Loss: 0.2578 | Train AUCROC: 0.9528 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-n | Train Loss: 0.2302 | Train AUCROC: 0.9487 | GPU: 0.0MiB
Epoch: 07 | Edge Type: n-n | Train Loss: 0.0047 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-o-nobank | Train Loss: 0.0536 | Train AUCROC: 0.9984 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-n | Train Loss: 0.1805 | Train AUCROC: 0.9657 | GPU: 0.0MiB
Epoch: 18 | Edge Type: n-n | Train Loss: 0.0005 | Train AUCROC: 1.0000 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-bank | Train Loss: 0.4628 | Train AUCROC: 0.8574 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-nobank | Train Loss: 0.2262 | Train AUCROC: 0.9607 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-n | Train Loss: 0.2171 | Train AUCROC: 0.9517 | GPU: 0.0MiB
Epoch: 08 | Edge Type: n-n | Train Loss: 0.0108 | Train AUCROC: 1.0000 | GPU: 0.0MiB
