overshoot0,overshoot1,overshoot2,overshoot3,overshoot4,overshoot5,overshoot6,overshoot7,overshoot8,overshoot9,overshoot10,overshoot11,overshoot12,overshoot13,overshoot14,overshoot15,overshoot16,overshoot17,overshoot18,overshoot19
1209.8167,152.83119,1191.999,152.83578,1210.8586,152.83353,1208.2465,152.83778,1202.8099,152.8368,1190.2515,152.84,1251.2926,455.59778,1267.012,456.05188,1269.5514,455.76178,1254.6809,1302.0942
1200.8167,153.83119,1182.999,153.83578,1201.8586,153.83353,1199.2465,153.83778,1193.8099,153.8368,1181.2515,153.84,1247.2926,460.59778,1263.012,461.05188,1265.5514,460.76178,1248.6809,1296.0942
1206.8167,156.83119,1188.999,156.83578,1207.8586,156.83353,1205.2465,156.83778,1199.8099,156.8368,1187.2515,156.84,1255.2926,471.59778,1271.012,472.05188,1273.5514,471.76178,1254.6809,1293.0942
1212.8167,163.83119,1194.999,163.83578,1213.8586,163.83353,1211.2465,163.83778,1205.8099,163.8368,1193.2515,163.84,1268.2926,484.59778,1284.012,485.05188,1286.5514,484.76178,1269.6809,1302.0942
1213.8167,168.83119,1195.999,168.83578,1214.8586,168.83353,1212.2465,168.83778,1206.8099,168.8368,1194.2515,168.84,1279.2926,501.59778,1295.012,502.05188,1297.5514,501.76178,1274.6809,1299.0942
1236.8167,174.83119,1218.999,174.83578,1237.8586,174.83353,1235.2465,174.83778,1229.8099,174.8368,1217.2515,174.84,1300.2926,506.59778,1316.012,507.05188,1318.5514,506.76178,1296.6809,1316.0942
1254.8167,168.83119,1236.999,168.83578,1255.8586,168.83353,1253.2465,168.83778,1247.8099,168.8368,1235.2515,168.84,1329.2926,510.59778,1345.012,511.05188,1347.5514,510.76178,1327.6809,1353.0942
1270.8035,173.82942,1252.986,173.834,1271.8456,173.83174,1269.2335,173.83601,1263.7969,173.83505,1251.2385,173.8382,1362.2775,521.59235,1377.997,522.0465,1380.5361,521.7565,1362.6659,1395.0787
1264.8167,172.83119,1246.999,172.83578,1265.8586,172.83353,1263.2465,172.83778,1257.8099,172.8368,1245.2515,172.84,1362.2926,520.5978,1378.012,521.0519,1380.5514,520.7618,1363.6809,1402.0942
1283.8167,174.83119,1265.999,174.83578,1284.8586,174.83353,1282.2465,174.83778,1276.8099,174.8368,1264.2515,174.84,1385.2926,522.5978,1401.012,523.0519,1403.5514,522.7618,1387.6809,1427.0942
1293.8167,173.83119,1275.999,173.83578,1294.8586,173.83353,1292.2465,173.83778,1286.8099,173.8368,1274.2515,173.84,1385.2926,515.5978,1401.012,516.0519,1403.5514,515.7618,1386.6809,1423.0942
1293.8167,175.83119,1275.999,175.83578,1294.8586,175.83353,1292.2465,175.83778,1286.8099,175.8368,1274.2515,175.84,1382.2926,515.5978,1398.012,516.0519,1400.5514,515.7618,1384.6809,1421.0942
1273.8167,173.83119,1255.999,173.83578,1274.8586,173.83353,1272.2465,173.83778,1266.8099,173.8368,1254.2515,173.84,1353.2926,506.59778,1369.012,507.05188,1371.5514,506.76178,1355.6809,1392.0942
1271.8167,178.83119,1253.999,178.83578,1272.8586,178.83353,1270.2465,178.83778,1264.8099,178.8368,1252.2515,178.84,1318.2926,505.59778,1334.012,506.05188,1336.5514,505.76178,1315.6809,1322.0942
1256.8167,175.83119,1238.999,175.83578,1257.8586,175.83353,1255.2465,175.83778,1249.8099,175.8368,1237.2515,175.84,1291.2926,492.59778,1307.012,493.05188,1309.5514,492.76178,1288.6809,1293.0942
1204.8167,159.83119,1186.999,159.83578,1205.8586,159.83353,1203.2465,159.83778,1197.8099,159.8368,1185.2515,159.84,1227.2926,466.59778,1243.012,467.05188,1245.5514,466.76178,1225.6809,1245.0942
1182.8167,150.83119,1164.999,150.83578,1183.8586,150.83353,1181.2465,150.83778,1175.8099,150.8368,1163.2515,150.84,1200.2926,461.59778,1216.012,462.05188,1218.5514,461.76178,1195.6809,1217.0942
1165.8167,144.83119,1147.999,144.83578,1166.8586,144.83353,1164.2465,144.83778,1158.8099,144.8368,1146.2515,144.84,1174.2926,445.59778,1190.012,446.05188,1192.5514,445.76178,1169.6809,1196.0942
