dataset,seed,hidden_dim_1,hidden_dim_2,mlp_dim,dropout,learning_rate,num_layers_LSTM,num_layers_GRU,trained_epochs,valid_loss,train_loss
CollegeMsg,42,64,128,64,0.0001,0.2,3,3,192,95852.51259613037,1322.9978942871094
CollegeMsg,42,64,128,64,0.001,0.2,3,3,127,32349.19125366211,5745.25146484375
CollegeMsg,42,64,256,32,0.0001,0.2,3,3,210,95517.37760925293,1425.82568359375
CollegeMsg,42,64,256,32,0.001,0.2,3,3,253,15211.145538330078,4666.475830078125
CollegeMsg,42,64,256,64,0.0001,0.2,3,3,136,96371.2878112793,1820.3154907226562
CollegeMsg,42,64,256,64,0.001,0.2,3,3,155,14113.947052001953,4020.47900390625
CollegeMsg,42,128,32,32,0.0001,0.2,3,3,529,101889.77192687988,1098.6181030273438
CollegeMsg,42,128,32,32,0.001,0.2,3,3,126,69029.69946289062,19075.10205078125
CollegeMsg,42,128,32,64,0.0001,0.2,3,3,335,101810.50778198242,1083.2095336914062
CollegeMsg,42,128,32,64,0.001,0.2,3,3,126,62985.5859375,26618.376953125
CollegeMsg,42,128,64,32,0.0001,0.2,3,3,372,100566.32592773438,1051.2712097167969
CollegeMsg,42,128,64,32,0.001,0.2,3,3,126,65301.22229003906,23308.46484375
CollegeMsg,42,128,64,64,0.0001,0.2,3,3,246,100215.78871154785,1215.6343078613281
CollegeMsg,42,128,64,64,0.001,0.2,3,3,126,62857.118408203125,32933.080078125
CollegeMsg,42,128,128,32,0.0001,0.2,3,3,267,101591.37878417969,1341.7742309570312
CollegeMsg,42,128,128,32,0.001,0.2,3,3,127,60846.412353515625,33199.529296875
CollegeMsg,42,128,128,64,0.0001,0.2,3,3,200,98085.339012146,1389.1221923828125
CollegeMsg,42,128,128,64,0.001,0.2,3,3,126,27521.792724609375,5579.171630859375
CollegeMsg,42,128,256,32,0.0001,0.2,3,3,200,98072.43291473389,1337.5183715820312
CollegeMsg,42,128,256,32,0.001,0.2,3,3,166,17575.215118408203,4343.7188720703125
CollegeMsg,42,128,256,64,0.0001,0.2,3,3,152,94897.70154571533,1560.4934692382812
CollegeMsg,42,128,256,64,0.001,0.2,3,3,126,25084.090881347656,6525.185791015625
CollegeMsg,42,256,32,32,0.0001,0.2,3,3,499,102946.40267944336,1055.9530029296875
CollegeMsg,42,256,32,32,0.001,0.2,3,3,126,70615.76403808594,17121.55224609375
CollegeMsg,42,256,32,64,0.0001,0.2,3,3,338,101047.00331115723,1138.4024963378906
CollegeMsg,42,256,32,64,0.001,0.2,3,3,126,63072.301513671875,26630.82421875
CollegeMsg,42,256,64,32,0.0001,0.2,3,3,371,101581.22709655762,1088.3558959960938
CollegeMsg,42,256,64,32,0.001,0.2,3,3,126,63955.24304199219,26172.1640625
CollegeMsg,42,256,64,64,0.0001,0.2,3,3,277,99211.37019348145,1127.0006713867188
CollegeMsg,42,256,64,64,0.001,0.2,3,3,126,59529.918701171875,33206.037109375
CollegeMsg,42,256,128,32,0.0001,0.2,3,3,278,99249.55844116211,1234.9325561523438
CollegeMsg,42,256,128,32,0.001,0.2,3,3,126,61687.0361328125,32844.3447265625
CollegeMsg,42,256,128,64,0.0001,0.2,3,3,204,97996.31393432617,1371.4124450683594
CollegeMsg,42,256,128,64,0.001,0.2,3,3,126,60230.01318359375,37007.490234375
CollegeMsg,42,256,256,32,0.0001,0.2,3,3,208,97901.14895629883,1218.8226318359375
CollegeMsg,42,256,256,32,0.001,0.2,3,3,126,61964.3994140625,34427.095703125
CollegeMsg,42,256,256,64,0.0001,0.2,3,3,152,94801.8568649292,1571.5143127441406
