Epoch: 14 | Edge Type: o-o-bank | Train Loss: 0.4676 | Train AUCROC: 0.0519 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-o-nobank | Train Loss: 0.6514 | Train AUCROC: 0.0630 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-n | Train Loss: 0.6089 | Train AUCROC: 0.6722 | GPU: 0.0MiB
Epoch: 14 | Edge Type: n-n | Train Loss: 0.6933 | Train AUCROC: 0.2368 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-o-bank | Train Loss: 0.4724 | Train AUCROC: 0.0558 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-o-nobank | Train Loss: 0.6551 | Train AUCROC: 0.0616 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-n | Train Loss: 0.6069 | Train AUCROC: 0.6711 | GPU: 0.0MiB
Epoch: 15 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.2344 | GPU: 0.0MiB
Epoch: 16 | Edge Type: o-o-bank | Train Loss: 0.4616 | Train AUCROC: 0.0514 | GPU: 0.0MiB
Epoch: 16 | Edge Type: o-o-nobank | Train Loss: 0.6549 | Train AUCROC: 0.0640 | GPU: 0.0MiB
Epoch: 16 | Edge Type: o-n | Train Loss: 0.6076 | Train AUCROC: 0.6680 | GPU: 0.0MiB
Epoch: 16 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.2284 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-o-bank | Train Loss: 0.4717 | Train AUCROC: 0.0559 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-o-nobank | Train Loss: 0.6469 | Train AUCROC: 0.0650 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-n | Train Loss: 0.6074 | Train AUCROC: 0.6701 | GPU: 0.0MiB
Epoch: 17 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.2295 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-o-bank | Train Loss: 0.4589 | Train AUCROC: 0.0529 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-o-nobank | Train Loss: 0.6449 | Train AUCROC: 0.0642 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-n | Train Loss: 0.6067 | Train AUCROC: 0.6715 | GPU: 0.0MiB
Epoch: 18 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.2374 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-o-bank | Train Loss: 0.4675 | Train AUCROC: 0.0511 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-o-nobank | Train Loss: 0.6439 | Train AUCROC: 0.0637 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-n | Train Loss: 0.6059 | Train AUCROC: 0.6672 | GPU: 0.0MiB
Epoch: 19 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.2266 | GPU: 0.0MiB
Epoch: 20 | Edge Type: o-o-bank | Train Loss: 0.4617 | Train AUCROC: 0.0533 | GPU: 0.0MiB
Epoch: 20 | Edge Type: o-o-nobank | Train Loss: 0.6507 | Train AUCROC: 0.0636 | GPU: 0.0MiB
Epoch: 20 | Edge Type: o-n | Train Loss: 0.6055 | Train AUCROC: 0.6709 | GPU: 0.0MiB
Epoch: 20 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.2354 | GPU: 0.0MiB
Epoch: 21 | Edge Type: o-o-bank | Train Loss: 0.4461 | Train AUCROC: 0.0500 | GPU: 0.0MiB
Epoch: 21 | Edge Type: o-o-nobank | Train Loss: 0.6468 | Train AUCROC: 0.0656 | GPU: 0.0MiB
Epoch: 21 | Edge Type: o-n | Train Loss: 0.6049 | Train AUCROC: 0.6721 | GPU: 0.0MiB
