1, 23.718998
2, 26.203905
3, 26.244727
4, 1.167436
5, 2.198023
6, 3.451944
7, 2.452245
8, 1.231004
9, 2.394362
10, 2.188956
11, 2.970966
12, 1.226572
13, 2.832941
14, 1.820964
15, 2.240965
16, 1.619057
17, 1.375510
18, 2.657525
19, 1.308070
20, 1.315724
21, 3.407488
22, 4.381692
23, 2.078868
24, 1.531301
25, 2.067567
26, 1.372883
27, 1.924110
28, 2.023126
29, 3.194112
30, 2.052683
31, 3.563120
32, 1.211034
33, 2.771344
34, 4.348598
35, 1.910104
36, 4.618557
37, 1.972249
38, 2.561054
39, 1.470697
40, 4.277141
41, 4.014530
42, 2.245875
43, 1.799098
44, 1.996712
45, 1.175277
46, 1.772598
47, 1.800079
48, 1.934745
49, 2.343911
50, 1.608565
51, 0.937244
52, 1.881257
53, 1.509916
54, 1.341499
55, 2.180094
56, 1.704611
57, 1.174995
58, 2.572818
59, 4.781112
60, 15.539187
61, 4.855220
62, 14.566194
63, 25.510758
64, 24.412145
65, 14.507947
66, 25.798440
67, 26.203905
68, 25.590800
69, 25.223076
70, 24.093301
71, 2.259460
72, 1.159908
73, 1.494593
74, 1.004362
75, 1.154033
76, 1.367284
77, 1.203726
78, 2.012130
79, 1.478965
80, 2.196742
81, 3.200571
82, 1.603401
83, 1.267347
84, 2.713226
85, 7.892468
86, 2.325200
87, 1.950483
88, 3.291196
89, 0.124981
90, 4.233530
91, 2.384202
92, 5.019884
93, 1.088367
94, 2.763150
95, 1.319594
96, 1.383902
97, 4.323065
98, 2.680851
99, 1.166957
100, 2.645869
101, 2.103016
102, 1.479133
103, 1.374765
104, 2.534896
105, 1.892445
106, 2.406657
107, 3.730941
108, 2.067431
109, 2.625928
110, 3.132634
111, 0.779769
112, 7.880874
113, 2.450790
114, 2.241322
115, 3.799369
116, 8.177783
117, 2.568527
118, 1.704342
119, 6.809942
120, 4.644751
121, 1.131699
122, 2.015059
123, 1.235765
124, 1.110625
125, 1.013975
126, 0.486943
127, 1.208595
128, 1.801369
129, 5.740307
130, 1.913392
131, 1.406864
132, 1.119982
133, 1.308036
134, 1.158174
135, 1.587235
136, 3.252220
137, 1.085629
138, 1.620522
139, 2.701798
140, 2.382044
141, 2.331744
142, 1.971941
143, 2.749703
144, 2.512229
145, 2.878113
146, 10.908273
147, 2.474444
148, 0.829252
149, 2.319047
150, 1.697898
151, 2.637882
152, 2.192646
153, 3.744003
154, 3.558305
155, 2.127305
156, 1.732018
157, 1.619760
158, 10.621252
159, 1.730920
160, 5.343881
161, 3.322038
162, 0.918461
163, 3.586260
164, 6.803675
165, 1.709055
166, 1.670527
167, 0.122190
168, 10.175661
169, 2.899789
170, 0.352304
171, 4.423773
172, 7.592137
173, 15.461931
174, 8.064481
175, 6.742410
176, 12.836075
177, 6.578643
178, 10.990819
179, 6.186065
