Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
2,0.0,0.0,0,61,1572673,1041,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,61,1573401,308,0.0,0.0,0,0,1520801,726,0.7624544349939246,0,0.0,0.0,1234,0.7506082725060828,0.7612584824182603,1255,0.7624544349939246,0.7624544349939246
3,0.0,0.0,0,87,1081711,845,0.0,0.0,0,0,20,0,0.0,0.0,0,0,20,0,0.0,0.0,0,87,1082300,253,0.0,0.0,0,0,1044923,586,0.6410098522167488,5,0.4166666666666667,0.19230769230769232,1023,0.6346153846153846,0.6401752190237797,1041,0.6410098522167488,0.6410098522167488
4,0.007633587786259542,0.0014903129657228018,1,130,697261,670,0.0,0.0,0,10,32,0,0.0,0.0,0,0,41,1,0.0,0.0,0,74,697778,208,0.0,0.0,0,0,656582,330,0.28233704829449513,7,0.23333333333333334,0.2413793103448276,811,0.2766973729102695,0.2766030013642565,836,0.28233704829449513,0.28233704829449513
5,0.007407407407407408,0.0018315018315018315,1,134,490021,545,0.0,0.0,0,4,8,0,0.0,0.0,0,0,11,1,0.0,0.0,0,82,490450,168,0.0,0.0,0,0,452015,242,0.22504012841091492,4,0.0975609756097561,0.12903225806451613,673,0.21893298633702016,0.2182230869001297,701,0.22504012841091492,0.22504012841091492
6,0.01675977653631285,0.00974025974025974,3,176,228479,305,0.0,0.0,0,8,22,0,0.0,0.0,0,0,30,0,0.017391304347826087,0.0196078431372549,2,113,228747,100,0.0,0.0,0,0,201026,127,0.13098167897183483,6,0.13043478260869565,0.16666666666666666,449,0.12434228745499862,0.123998895332781,479,0.13098167897183483,0.13098167897183483
7,0.03007518796992481,0.021052631578947368,4,129,134737,186,0.0,0.0,0,4,8,0,0.0,0.0,0,0,11,1,0.021052631578947368,0.02702702702702703,2,93,134889,72,0.0,0.0,0,0,118614,66,0.09884501745903841,4,0.06557377049180328,0.10810810810810811,345,0.09421081376297105,0.0935973955507325,368,0.09884501745903841,0.09884501745903841
