dataset,hidden_dim_1,hidden_dim_2,mlp_dim,learning_rate,num_layers_LSTM,num_layers_GRU,trained_epochs,valid_aucroc,valid_loss
networkaragon,64,32,32,0.0001,3,3,115,0.7944015444015444,0.6735940352082253
networkaragon,64,32,32,0.001,3,3,115,0.721042471042471,0.6626511365175247
networkaragon,64,32,64,0.0001,3,3,115,0.7895752895752897,0.6848260760307312
networkaragon,64,32,64,0.001,3,3,115,0.6805019305019304,0.664159819483757
networkaragon,64,64,32,0.0001,3,3,115,0.7963320463320464,0.6306741088628769
networkaragon,64,64,32,0.001,3,3,115,0.7258687258687258,0.6637259721755981
networkaragon,64,64,64,0.0001,3,3,115,0.6563706563706564,0.7237965911626816
networkaragon,64,64,64,0.001,3,3,115,0.7123552123552124,0.6642055511474609
networkaragon,64,128,32,0.0001,3,3,115,0.8725868725868725,0.7171439304947853
networkaragon,64,128,32,0.001,3,3,115,0.6689189189189189,0.6755939424037933
networkaragon,64,128,64,0.0001,3,3,115,0.7297297297297297,0.6557459533214569
networkaragon,64,128,64,0.001,3,3,115,0.6727799227799228,0.6759563535451889
networkaragon,64,256,32,0.0001,3,3,115,0.7007722007722008,0.6469561755657196
networkaragon,64,256,32,0.001,3,3,115,0.667953667953668,0.6727641075849533
networkaragon,64,256,64,0.0001,3,3,115,0.6370656370656371,0.7647888958454132
networkaragon,64,256,64,0.001,3,3,115,0.6602316602316602,0.6715812683105469
networkaragon,128,32,32,0.0001,3,3,115,0.861003861003861,0.7100534290075302
networkaragon,128,32,32,0.001,3,3,115,0.7239382239382239,0.6613471060991287
networkaragon,128,32,64,0.0001,3,3,115,0.8281853281853282,0.6775327622890472
networkaragon,128,32,64,0.001,3,3,115,0.721042471042471,0.6623885035514832
networkaragon,128,64,32,0.0001,3,3,115,0.7799227799227799,0.704783707857132
