Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
19,0.0,0.0,0,0,505,6,0.0,0.0,0,0,210,1,0.0,0.0,0,0,210,3,0.0,0.0,0,0,506,0,0.0,0.0,0,0,6,1,0.039792387543252594,15,0.02952755905511811,0.4166666666666667,3,0.04285714285714286,0.005535055350553505,23,0.039792387543252594,0.039792387543252594
20,0.0,0.0,0,4,415,5,0.0,0.0,0,3,207,1,0.0,0.0,0,0,209,3,0.0,0.0,0,0,420,0,0.0,0.0,0,0,0,1,0.03626943005181347,15,0.029411764705882353,0.40540540540540543,1,0.014492753623188406,0.0018450184501845018,21,0.03626943005181347,0.03626943005181347
21,0.0,0.0,0,1,418,5,0.0,0.0,0,0,156,0,0.0,0.0,0,0,155,3,0.0,0.0,0,0,420,0,0.0,0.0,0,0,6,0,0.035897435897435895,13,0.025691699604743084,0.35135135135135137,3,0.0379746835443038,0.005474452554744526,21,0.035897435897435895,0.035897435897435895
22,0.0,0.0,0,1,504,5,0.0,0.0,0,0,306,1,0.0,0.0,0,0,305,3,0.0,0.0,0,0,506,0,0.0,0.0,0,0,0,0,0.03764320785597381,18,0.03515625,0.43902439024390244,0,0.0,0.0,23,0.03764320785597381,0.03764320785597381
23,0.0,0.0,0,0,380,4,0.0,0.0,0,0,182,1,0.0,0.0,0,0,182,1,0.0,0.0,0,0,380,0,0.0,0.0,0,0,0,0,0.03215434083601286,14,0.0260707635009311,0.32558139534883723,1,0.011764705882352941,0.0017271157167530224,20,0.03215434083601286,0.03215434083601286
24,0.0,0.0,0,0,240,1,0.0,0.0,0,0,132,1,0.0,0.0,0,0,132,0,0.0,0.0,0,0,240,0,0.0,0.0,0,0,0,0,0.026981450252951095,12,0.022857142857142857,0.2926829268292683,0,0.0,0.0,16,0.026981450252951095,0.026981450252951095
25,0.0,0.0,0,2,304,2,0.0,0.0,0,2,154,1,0.0,0.0,0,0,156,1,0.0,0.0,0,0,306,0,0.0,0.0,0,0,2,0,0.030201342281879196,13,0.02524271844660194,0.325,2,0.024691358024691357,0.0035971223021582736,18,0.030201342281879196,0.030201342281879196
26,0.0,0.0,0,2,208,3,0.0,0.0,0,2,130,2,0.0,0.0,0,0,132,1,0.0,0.0,0,0,210,0,0.0,0.0,0,0,0,0,0.025510204081632654,12,0.022988505747126436,0.3,0,0.0,0.0,15,0.025510204081632654,0.025510204081632654
27,0.0,0.0,0,1,239,3,0.0,0.0,0,1,109,2,0.0,0.0,0,0,110,1,0.0,0.0,0,0,240,0,0.0,0.0,0,0,0,0,0.02782608695652174,11,0.021611001964636542,0.3055555555555556,1,0.015151515151515152,0.0018552875695732839,16,0.02782608695652174,0.02782608695652174
28,0.0,0.0,0,0,132,5,0.0,0.0,0,0,30,1,0.0,0.0,0,0,30,2,0.0,0.0,0,0,132,0,0.0,0.0,0,0,2,2,0.020761245674740483,6,0.011976047904191617,0.17142857142857143,2,0.025974025974025976,0.003683241252302026,12,0.020761245674740483,0.020761245674740483
