,Prob 1,Prob 2,Prob 3,Prob 4
0,0.22340425531914893,0.4095744680851064,0.026595744680851064,0.3404255319148936
1,0.6584507042253521,0.15492957746478872,0.176056338028169,0.01056338028169014
2,0.605543710021322,0.20042643923240938,0.08528784648187633,0.10874200426439233
3,0.7962648556876061,0.0865874363327674,0.11205432937181664,0.0050933786078098476
4,0.8,0.12789115646258503,0.050340136054421766,0.021768707482993196
5,0.722502522704339,0.13521695257315844,0.10898082744702321,0.033299697275479316
6,0.7941176470588235,0.09640522875816994,0.09640522875816994,0.013071895424836602
7,0.780744905130007,0.08784258608573436,0.1257905832747716,0.005621925509486999
8,0.7615780445969125,0.12064036592338478,0.10291595197255575,0.014865637507146942
9,0.8576799140708915,0.04833512352309345,0.08754027926960257,0.00644468313641246
10,0.8993871297242084,0.020429009193054137,0.08018386108273749,0.0
11,0.8134761267291388,0.06381079875055778,0.11601963409192324,0.006693440428380187
12,0.7521559805024371,0.10798650168728909,0.11436070491188602,0.0254968128983877
13,0.8194304857621441,0.05360134003350084,0.11390284757118928,0.01306532663316583
14,0.8110212638514526,0.052710392333033845,0.13267445342917042,0.0035938903863432167
15,0.828107502799552,0.05039193729003359,0.11590145576707726,0.005599104143337066
16,0.8602732663057489,0.03789636504253674,0.10079917504511472,0.0010311936065996391
17,0.9043308049914363,0.029361389772449228,0.06483973574749205,0.0014680694886224615
18,0.8842504743833017,0.016840607210626187,0.09558823529411764,0.003320683111954459
19,0.9131313131313131,0.013888888888888888,0.07095959595959596,0.00202020202020202
20,0.875250501002004,0.03657314629258517,0.08617234468937876,0.002004008016032064
21,0.907576571735626,0.02418054809242343,0.06636217087587319,0.0018807092960773778
22,0.9529051987767584,0.007033639143730887,0.039755351681957186,0.0003058103975535168
23,0.8965403624382208,0.014827018121911038,0.08731466227347612,0.0013179571663920922
24,0.9094608341810784,0.021702271956595458,0.06646320786707359,0.002373685995252628
25,0.8466530054644809,0.025614754098360656,0.12773224043715847,0.0
26,0.8222718570516911,0.0398851308232291,0.1372048500319081,0.0006381620931716656
27,0.8148729212425478,0.048635080012550985,0.13272670222780045,0.0037652965171007216
28,0.8230088495575221,0.057227138643067846,0.11592920353982301,0.0038348082595870206
29,0.8518910341179582,0.0449616503570484,0.09970907167416028,0.003438243850833113
30,0.9073055773762765,0.0204241948153967,0.07096098455092956,0.0013092432573972245
31,0.9245824634655533,0.019311064718162838,0.0540187891440501,0.0020876826722338203
32,0.8530223225482819,0.024579884625031353,0.12039127163280662,0.00200652119388011
33,0.8388206388206388,0.042997542997543,0.114004914004914,0.004176904176904177
34,0.8500240731824747,0.038998555609051515,0.10953298025999036,0.0014443909484833895
35,0.8043035107587769,0.039864099660249154,0.15447338618346546,0.0013590033975084937
