Graph_Num,Precision_New,Recall_New,F1_New,Accuracy_New,Precision_Old,Recall_Old,F1_Old,Accuracy_Old,Precision_All,Recall_All,F1_All
0,1.0,1.0,1.0,1.0,0.07407407407407407,0.07142857142857142,0.07272727272727272,0.07142857142857142,0.7933884297520661,0.7868852459016393,0.7901234567901234
1,1.0,1.0,1.0,1.0,0.47643979057591623,0.37916666666666665,0.4222737819025522,0.37916666666666665,0.9137931034482759,0.8767576509511993,0.89489235964542
2,1.0,1.0,1.0,1.0,0.3238095238095238,0.13821138211382114,0.19373219373219375,0.13821138211382114,0.9363228699551569,0.8312101910828026,0.8806410797132013
3,1.0,1.0,1.0,1.0,0.24509803921568626,0.12195121951219512,0.16286644951140064,0.12195121951219512,0.8701517706576728,0.7413793103448276,0.8006206361520558
4,1.0,1.0,1.0,1.0,0.3333333333333333,0.16184971098265896,0.2178988326848249,0.16184971098265896,0.8672985781990521,0.7162426614481409,0.7845659163987138
5,1.0,1.0,1.0,1.0,0.3188405797101449,0.15827338129496402,0.2115384615384615,0.15827338129496402,0.8474025974025974,0.6904761904761905,0.760932944606414
6,1.0,1.0,1.0,1.0,0.2037037037037037,0.10576923076923077,0.13924050632911392,0.10576923076923077,0.8252032520325203,0.6858108108108109,0.7490774907749077
7,1.0,1.0,1.0,1.0,0.23404255319148937,0.11702127659574468,0.15602836879432624,0.11702127659574468,0.8548387096774194,0.7186440677966102,0.7808471454880296
8,1.0,1.0,1.0,1.0,0.2926829268292683,0.12371134020618557,0.1739130434782609,0.12371134020618557,0.8971631205673759,0.7485207100591716,0.8161290322580645
9,1.0,1.0,1.0,1.0,0.2465753424657534,0.125,0.16589861751152074,0.125,0.8208469055374593,0.6666666666666666,0.7357664233576643
10,1.0,1.0,1.0,1.0,0.24074074074074073,0.13829787234042554,0.17567567567567569,0.13829787234042554,0.7939698492462312,0.6610878661087866,0.7214611872146118
11,1.0,1.0,1.0,1.0,0.20588235294117646,0.12962962962962962,0.1590909090909091,0.12962962962962962,0.7378640776699029,0.6178861788617886,0.672566371681416
12,1.0,1.0,1.0,1.0,0.10909090909090909,0.06451612903225806,0.08108108108108109,0.06451612903225806,0.72,0.5915492957746479,0.6494845360824743
13,1.0,1.0,1.0,1.0,0.1724137931034483,0.08928571428571429,0.11764705882352941,0.08928571428571429,0.8562874251497006,0.7371134020618557,0.7922437673130194
14,1.0,1.0,1.0,1.0,0.13043478260869565,0.07692307692307693,0.0967741935483871,0.07692307692307693,0.7315436241610739,0.6022099447513812,0.6606060606060606
15,1.0,1.0,1.0,1.0,0.16,0.05555555555555555,0.08247422680412371,0.05555555555555555,0.8711656441717791,0.6761904761904762,0.7613941018766756
16,1.0,1.0,1.0,1.0,0.21428571428571427,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.8181818181818182,0.6644295302013423,0.7333333333333335
17,1.0,1.0,1.0,1.0,0.06896551724137931,0.03076923076923077,0.04255319148936171,0.03076923076923077,0.7906976744186046,0.6181818181818182,0.693877551020408
18,1.0,1.0,1.0,1.0,0.07407407407407407,0.0425531914893617,0.05405405405405405,0.0425531914893617,0.7474747474747475,0.6218487394957983,0.6788990825688075
19,1.0,1.0,1.0,1.0,0.15384615384615385,0.05405405405405406,0.08,0.05405405405405406,0.8641975308641975,0.6666666666666666,0.7526881720430108
20,1.0,1.0,1.0,1.0,0.11764705882352941,0.0784313725490196,0.09411764705882353,0.0784313725490196,0.7087378640776699,0.6083333333333333,0.6547085201793722
21,1.0,1.0,1.0,1.0,0.21428571428571427,0.13636363636363635,0.16666666666666663,0.13636363636363635,0.7828947368421053,0.6761363636363636,0.725609756097561
22,1.0,1.0,1.0,1.0,0.1724137931034483,0.08620689655172414,0.1149425287356322,0.08620689655172414,0.8016528925619835,0.6466666666666666,0.7158671586715867
23,1.0,1.0,1.0,1.0,0.08571428571428572,0.05,0.0631578947368421,0.05,0.627906976744186,0.4864864864864865,0.548223350253807
