1, 8.870539
2, 20.722649
3, 8.709087
4, 8.505342
5, 12.623842
6, 2.101735
7, 3.592697
8, 6.182416
9, 21.589297
10, 1.387299
11, 0.726137
12, 3.168586
13, 4.725937
14, 2.609049
15, 5.005102
16, 1.808831
17, 5.903989
18, 9.401202
19, 4.015778
20, 9.585961
21, 14.803417
22, 11.080783
23, 9.579998
24, 4.797460
25, 9.470556
26, 12.190477
27, 6.605636
28, 10.383225
29, 9.937140
30, 10.426152
31, 11.337116
32, 16.770395
33, 18.937178
34, 4.591077
35, 6.345429
36, 6.368250
37, 8.469956
38, 3.227632
39, 7.670259
40, 6.657208
41, 16.101506
42, 3.116675
43, 5.453359
44, 5.604372
45, 5.720397
46, 6.711148
47, 2.638808
48, 2.485817
49, 1.844570
50, 4.293713
51, 1.037395
52, 3.024028
53, 5.113523
54, 3.632578
55, 6.272765
56, 4.389047
57, 6.063788
58, 3.295559
59, 6.772433
60, 1.837141
61, 4.939561
62, 9.322896
63, 4.326503
64, 2.590130
65, 1.956102
66, 2.325739
67, 4.183915
68, 7.472680
69, 9.924184
70, 4.662197
71, 3.293689
72, 9.281024
73, 2.333706
74, 2.972067
75, 4.792883
76, 6.653144
77, 11.921483
78, 10.729497
79, 16.492852
80, 15.138984
81, 10.872257
82, 11.304486
83, 5.739948
84, 7.828170
85, 7.843354
86, 10.938841
87, 12.991708
88, 9.214495
89, 13.304667
90, 7.525981
91, 5.594523
92, 5.445653
93, 2.979016
94, 7.138077
95, 4.009417
96, 3.199412
97, 2.108579
98, 12.506413
99, 1.906365
100, 2.515769
101, 4.077494
102, 3.394186
103, 2.254107
104, 1.612637
105, 2.674767
106, 5.786885
107, 4.932084
108, 6.788343
109, 5.761872
110, 6.883251
111, 6.588718
112, 15.231965
113, 10.886270
114, 6.404906
115, 10.652344
116, 7.278835
117, 8.519491
118, 8.887244
119, 17.204967
120, 1.053677
121, 4.509949
122, 3.887238
123, 7.893513
124, 8.495176
125, 2.475278
126, 15.355522
127, 11.240436
128, 8.731628
129, 13.335509
130, 9.895680
131, 7.854575
132, 12.964940
133, 9.387223
134, 8.693111
135, 9.573447
136, 11.860064
137, 14.026200
138, 11.159332
139, 3.486841
140, 5.957342
141, 6.506065
142, 7.626387
143, 5.967750
144, 7.315802
145, 9.124617
146, 5.918855
147, 9.187750
148, 7.882606
149, 12.844433
150, 10.225085
151, 13.917187
152, 7.301612
153, 9.002986
154, 6.901087
155, 3.803819
156, 8.518120
157, 10.490158
158, 7.411611
159, 8.183670
160, 1.565741
161, 6.079884
162, 10.841046
163, 8.107702
164, 6.839172
165, 10.818590
166, 12.133319
167, 9.936671
168, 8.316610
169, 8.606392
170, 8.241173
171, 6.924222
172, 11.550042
173, 8.444100
174, 10.757321
175, 8.404572
176, 5.410775
177, 7.358633
178, 7.298292
179, 8.456517
180, 2.824436
181, 8.020473
182, 6.990121
183, 5.245458
184, 5.917712
185, 6.629721
186, 4.940830
187, 13.299829
188, 10.760728
189, 5.271604
190, 4.136862
191, 5.519129
192, 4.593034
193, 6.275947
194, 4.282833
195, 6.029104
196, 3.805540
197, 5.649959
198, 6.155929
199, 5.994288
200, 6.677199
201, 6.289364
202, 6.718064
203, 5.086764
204, 3.889620
205, 3.332553
206, 1.768322
207, 4.865898
208, 1.732512
209, 3.658215
210, 5.818283
211, 6.328826
212, 14.772215
213, 3.038654
214, 3.120491
215, 2.977881
216, 3.482130
217, 9.748201
218, 6.994630
219, 8.219340
220, 3.162840
221, 4.515494
222, 21.950916
223, 6.853375
224, 5.872961
225, 5.214131
226, 9.144586
227, 10.638153
228, 5.008176
229, 5.916929
230, 4.022992
231, 11.152476
232, 6.066412
233, 9.364514
234, 6.170162
235, 5.029600
236, 4.461080
237, 6.149465
238, 4.900184
239, 6.668814
240, 4.619350
241, 3.621672
242, 4.779699
243, 5.818295
244, 9.149527
245, 5.326622
246, 2.061478
247, 9.297588
248, 1.446652
249, 3.449532
250, 7.133950
251, 2.477940
252, 5.248755
253, 5.985535
254, 5.774130
255, 3.797591
256, 2.959741
257, 1.167659
258, 12.607080
259, 5.059146
260, 8.845799
261, 5.609506
262, 6.521738
263, 2.740338
264, 0.805564
265, 8.621646
266, 8.424917
267, 5.455141
268, 3.591100
269, 4.570513
270, 4.958493
271, 6.945640
272, 3.687940
273, 2.833183
274, 5.221954
275, 3.636785
276, 3.662487
277, 2.265349
278, 10.027830
279, 9.985291
280, 2.231437
281, 13.291858
282, 2.984750
283, 1.535057
284, 2.530472
285, 2.133519
286, 1.217712
287, 1.486793
288, 4.537642
289, 1.507783
290, 3.461996
291, 5.173107
292, 1.070421
293, 2.359155
294, 2.379522
295, 0.590405
296, 0.668867
297, 2.712738
