Graph_Num,Precision_New,Recall_New,F1_New,Precision_Old,Recall_Old,F1_Old,Accuracy_Old,Precision_All,Recall_All,F1_All
0,0.0,0.0,0,0.07894736842105263,0.07894736842105263,0.07894736842105263,1.0,0.013824884792626729,0.013824884792626729,0.01382488479262673
1,0.0,0.0,0,0.1,0.1,0.10000000000000002,1.0,0.015503875968992248,0.015503875968992248,0.015503875968992248
2,0.0,0.0,0,0.05,0.05,0.05000000000000001,1.0,0.012875536480686695,0.012875536480686695,0.012875536480686695
3,0.0,0.0,0,0.0967741935483871,0.0967741935483871,0.0967741935483871,1.0,0.02097902097902098,0.02097902097902098,0.02097902097902098
4,0.0,0.0,0,0.14814814814814814,0.14814814814814814,0.14814814814814814,1.0,0.033426183844011144,0.033426183844011144,0.033426183844011144
5,0.0,0.0,0,0.13253012048192772,0.13253012048192772,0.13253012048192772,1.0,0.04609929078014184,0.04529616724738676,0.04569420035149385
6,0.0,0.0,0,0.06451612903225806,0.06451612903225806,0.06451612903225806,1.0,0.02304147465437788,0.022935779816513763,0.02298850574712644
7,0.0,0.0,0,0.06521739130434782,0.06521739130434782,0.06521739130434782,1.0,0.016483516483516484,0.016483516483516484,0.016483516483516484
8,0.0,0.0,0,0.08045977011494253,0.08045977011494253,0.08045977011494253,1.0,0.005528255528255528,0.0055248618784530384,0.0055265581823764195
9,0.0,0.0,0,0.04504504504504504,0.04504504504504504,0.04504504504504504,1.0,0.014018691588785047,0.013986013986013986,0.014002333722287048
10,0.0,0.0,0,0.1416184971098266,0.1416184971098266,0.1416184971098266,1.0,0.0399673735725938,0.0399673735725938,0.0399673735725938
11,0.0,0.0,0,0.07407407407407407,0.07407407407407407,0.07407407407407407,1.0,0.02666666666666667,0.02666666666666667,0.026666666666666672
12,0.0,0.0,0,0.02631578947368421,0.02631578947368421,0.02631578947368421,1.0,0.008064516129032258,0.008064516129032258,0.008064516129032258
13,0.0,0.0,0,0.06944444444444445,0.06944444444444445,0.06944444444444445,1.0,0.022321428571428572,0.022321428571428572,0.022321428571428572
14,0.0,0.0,0,0.05454545454545454,0.05454545454545454,0.05454545454545454,1.0,0.014705882352941176,0.014705882352941176,0.014705882352941176
15,0.0,0.0,0,0.047619047619047616,0.047619047619047616,0.047619047619047616,1.0,0.017857142857142856,0.017857142857142856,0.017857142857142856
16,0.0,0.0,0,0.08955223880597014,0.08955223880597014,0.08955223880597016,1.0,0.029411764705882353,0.029411764705882353,0.029411764705882353
17,0.0,0.0,0,0.06818181818181818,0.06818181818181818,0.06818181818181818,1.0,0.016666666666666666,0.016666666666666666,0.016666666666666666
18,0.0,0.0,0,0.1891891891891892,0.1891891891891892,0.18918918918918917,1.0,0.04216867469879518,0.04216867469879518,0.04216867469879518
19,0.0,0.0,0,0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,0.013071895424836602,0.013071895424836602,0.013071895424836602
20,0.0,0.0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,0.02054794520547945,0.02054794520547945,0.02054794520547945
21,0.0,0.0,0,0.15151515151515152,0.15151515151515152,0.15151515151515152,1.0,0.029411764705882353,0.029411764705882353,0.029411764705882353
22,0.0,0.0,0,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.0,0.03,0.03,0.03
23,0.0,0.0,0,0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,0.03007518796992481,0.03007518796992481,0.03007518796992481
