graph_num,filtration_num,l2_norm,cosine_similarity,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
6,6,2012.6537208372433,,166,10,166,10,287,27,287,27,346,66,396,113,421,151,482,289,535,612,573,1425
6,7,1735.9542044650832,,142,7,142,7,261,28,261,28,310,71,359,115,384,159,435,293,476,561,505,1161
6,8,1499.4285578179442,,130,10,130,10,240,33,240,33,286,73,323,115,343,151,392,309,425,553,442,906
6,9,1359.5786111880402,,144,16,144,16,240,44,240,44,277,75,309,116,330,148,375,311,396,482,409,756
6,10,1232.7120507239313,,145,20,145,20,228,43,228,43,264,86,293,118,316,168,348,286,366,435,374,631
7,1,967.4564589685677,,130,25,130,25,203,56,203,56,223,84,245,107,259,143,278,214,291,321,296,445
7,2,454.204799622373,,93,27,93,27,118,45,118,45,123,53,126,61,132,88,135,104,136,116,136,116
7,3,229.22914299887788,,51,14,51,14,60,23,60,23,65,38,67,46,67,46,67,46,67,46,67,46
7,4,236.82694103500978,,55,12,55,12,64,25,64,25,67,34,69,42,69,42,70,48,70,48,70,48
7,5,263.12734559524597,,61,12,61,12,69,24,69,24,74,37,77,49,77,49,78,55,78,55,78,55
7,6,263.2926128853599,,64,15,64,15,69,23,69,23,75,39,77,47,77,47,78,53,78,53,78,53
7,7,260.95210288480143,,63,13,63,13,68,23,68,23,74,39,76,47,77,52,77,52,77,52,77,52
7,8,419.7677929522464,,88,14,88,14,107,23,107,23,118,42,123,58,125,67,126,70,129,109,130,126
7,9,631.1497445139307,,102,13,102,13,151,33,151,33,170,58,180,80,182,88,191,122,195,167,198,247
7,10,767.5460898213214,,110,11,110,11,170,30,170,30,192,58,205,80,214,99,229,162,235,218,240,349
8,1,892.8292109916655,,112,11,112,11,182,22,182,22,204,48,227,84,239,106,261,196,270,269,277,453
8,2,982.8916522180865,,115,14,115,14,195,31,195,31,217,48,236,75,249,97,279,200,294,328,301,526
8,3,1051.273989024745,,117,12,117,12,195,22,195,22,223,42,250,78,259,91,291,193,312,358,320,596
